intervention,peak_pressure_index,mean_pressure_index,ending_pressure_index,pressure_load_index_hours,minimum_effective_do_mg_l,mean_feeding_opportunity_pct,response_readiness_hours,pressure_band,scenario_interpretation,scenario_id,hab_multiplier,mhw_delta_c,do_delta_mg_l,density_multiplier,pressure_load_reduction_pct,lowest_pressure,pareto_efficient
维持监测,56.7825,37.40648219178082,56.7825,2698.28195,3.3655,51.16583698630137,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,1,0.9,-0.4,-0.5,0.9,0.0,False,False
降低投喂40%,55.7129,36.730397260273975,55.7129,2649.46255,3.4345,30.985949315068492,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,1,0.9,-0.4,-0.5,0.9,1.8092771958097211,False,False
启动增氧,48.9568,32.65178082191781,48.9568,2355.1016,4.8655,62.613054794520544,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,1,0.9,-0.4,-0.5,0.9,12.718476288217401,False,True
转移准备（未执行）,56.7825,37.40648219178082,56.7825,2698.28195,3.3655,51.16583698630137,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,1,0.9,-0.4,-0.5,0.9,0.0,False,False
降低投喂+增氧,47.9901,32.0634698630137,47.9901,2312.63825,4.9345,38.02788630136986,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,1,0.9,-0.4,-0.5,0.9,14.29219433499157,True,True
维持监测,57.7734,38.018839726027394,57.7734,2742.4885999999997,3.2841,50.677749315068496,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,2,0.9,-0.4,-0.5,1.0,0.0,False,False
降低投喂40%,56.7016,37.33781917808219,56.7016,2693.3099999999995,3.3619,30.697364383561645,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,2,0.9,-0.4,-0.5,1.0,1.7932107356800022,False,False
启动增氧,50.2428,33.42547808219178,50.2428,2410.9385,4.7841,61.625008219178085,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,2,0.9,-0.4,-0.5,1.0,12.089388448141573,False,True
转移准备（未执行）,57.7734,38.018839726027394,57.7734,2742.4885999999997,3.2841,50.677749315068496,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,2,0.9,-0.4,-0.5,1.0,0.0,False,False
降低投喂+增氧,49.1919,32.78178219178082,49.1919,2364.47415,4.8619,37.48960821917809,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,2,0.9,-0.4,-0.5,1.0,13.783628854464506,True,True
维持监测,58.495,38.46630547945205,58.495,2774.7928,3.2237,50.33271506849315,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,3,0.9,-0.4,-0.5,1.1,0.0,False,False
降低投喂40%,57.4237,37.782934246575344,57.4237,2725.44235,3.3081,30.4920301369863,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,3,0.9,-0.4,-0.5,1.1,1.7785273913064918,False,False
启动增氧,51.2007,34.0043506849315,51.2007,2452.71725,4.7237,60.890383561643844,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,3,0.9,-0.4,-0.5,1.1,11.607192796521598,False,True
转移准备（未执行）,58.495,38.46630547945205,58.495,2774.7928,3.2237,50.33271506849315,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,3,0.9,-0.4,-0.5,1.1,0.0,False,False
降低投喂+增氧,50.0898,33.32065890410959,50.0898,2403.3632,4.8081,37.08747808219179,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,3,0.9,-0.4,-0.5,1.1,13.38584992724503,True,True
维持监测,55.1185,36.385294520547944,55.1185,2624.56725,3.8655,53.67816438356164,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,4,0.9,-0.4,0.0,0.9,0.0,False,False
降低投喂40%,54.0159,35.694145205479444,54.0159,2574.66465,3.9345,32.580669863013696,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,4,0.9,-0.4,0.0,0.9,1.9013648821534253,False,False
启动增氧,45.4969,30.589972602739728,45.4969,2206.31955,5.3655,67.3925904109589,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,4,0.9,-0.4,0.0,0.9,15.935872856753809,False,True
转移准备（未执行）,55.1185,36.385294520547944,55.1185,2624.56725,3.8655,53.67816438356164,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,4,0.9,-0.4,0.0,0.9,0.0,False,False
降低投喂+增氧,44.7809,30.161220547945213,44.7809,2175.3786499999997,5.4345,40.80074246575342,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,4,0.9,-0.4,0.0,0.9,17.114768158445948,True,True
维持监测,56.2326,37.07021643835616,56.2326,2674.0095,3.7841,52.987734246575336,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,5,0.9,-0.4,0.0,1.0,0.0,False,False
降低投喂40%,55.1103,36.36262876712329,55.1103,2622.9167500000003,3.8619,32.180082191780826,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,5,0.9,-0.4,0.0,1.0,1.9107168467426834,False,False
启动增氧,46.667,31.284432876712327,46.667,2256.4300999999996,5.2841,66.5376301369863,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,5,0.9,-0.4,0.0,1.0,15.616227242274215,False,True
转移准备（未执行）,56.2326,37.07021643835616,56.2326,2674.0095,3.7841,52.987734246575336,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,5,0.9,-0.4,0.0,1.0,0.0,False,False
降低投喂+增氧,45.8566,30.796284931506854,45.8566,2221.2005,5.3619,40.34857945205479,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,5,0.9,-0.4,0.0,1.0,16.93370947261033,True,True
维持监测,57.043,37.57024794520549,57.043,2710.1066,3.7237,52.49865479452055,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,6,0.9,-0.4,0.0,1.1,0.0,False,False
降低投喂40%,55.9097,36.852715068493154,55.9097,2658.29335,3.8081,31.894138356164387,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,6,0.9,-0.4,0.0,1.1,1.9118528400322021,False,False
启动增氧,47.5544,31.813317808219175,47.5544,2294.5950000000003,5.2237,65.88163424657535,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,6,0.9,-0.4,0.0,1.1,15.33192827175137,False,True
转移准备（未执行）,57.043,37.57024794520549,57.043,2710.1066,3.7237,52.49865479452055,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,6,0.9,-0.4,0.0,1.1,0.0,False,False
降低投喂+增氧,46.6716,31.2792397260274,46.6716,2256.0487,5.3081,40.0015698630137,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,6,0.9,-0.4,0.0,1.1,16.75424501752072,True,True
维持监测,52.4396,34.752617808219185,52.4396,2506.7213,4.3655,57.63216575342465,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,7,0.9,-0.4,0.5,0.9,0.0,False,False
降低投喂40%,51.3465,34.076338356164385,51.3465,2457.89945,4.4345,35.03407945205479,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,7,0.9,-0.4,0.5,0.9,1.9476377369913547,False,False
启动增氧,42.8665,29.039890410958908,42.8665,2094.4787499999998,5.8655,70.91979315068494,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,7,0.9,-0.4,0.5,0.9,16.445487976664992,False,True
转移准备（未执行）,52.4396,34.752617808219185,52.4396,2506.7213,4.3655,57.63216575342465,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,7,0.9,-0.4,0.5,0.9,0.0,False,False
降低投喂+增氧,42.4231,28.77761917808219,42.4231,2075.55465,5.9345,42.78504931506849,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,7,0.9,-0.4,0.5,0.9,17.200422320582668,True,True
维持监测,53.685,35.5114397260274,53.685,2561.4926,4.2841,56.72639999999999,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,8,0.9,-0.4,0.5,1.0,0.0,False,False
降低投喂40%,52.5415,34.79943150684931,52.5415,2510.08775,4.3619,34.523271232876716,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,8,0.9,-0.4,0.5,1.0,2.0068318760710024,False,False
启动增氧,43.8364,29.609082191780825,43.8364,2135.5448,5.7841,70.30631506849315,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,8,0.9,-0.4,0.5,1.0,16.628890514850596,False,True
转移准备（未执行）,53.685,35.5114397260274,53.685,2561.4926,4.2841,56.72639999999999,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,8,0.9,-0.4,0.5,1.0,0.0,False,False
降低投喂+增氧,43.3182,29.30105890410959,43.3182,2113.3181999999997,5.8619,42.46458219178082,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,8,0.9,-0.4,0.5,1.0,17.496611155542684,True,True
维持监测,54.5973,36.069563013698634,54.5973,2601.77945,4.2237,56.07314657534246,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,9,0.9,-0.4,0.5,1.1,0.0,False,False
降低投喂40%,53.421,35.33374931506849,53.421,2548.6531999999997,4.3081,34.152150684931506,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,9,0.9,-0.4,0.5,1.1,2.04191980992087,False,False
启动增氧,44.5776,30.045627397260276,44.5776,2167.0420000000004,5.7237,69.82585342465752,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,9,0.9,-0.4,0.5,1.1,16.709235288948094,False,True
转移准备（未执行）,54.5973,36.069563013698634,54.5973,2601.77945,4.2237,56.07314657534246,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,9,0.9,-0.4,0.5,1.1,0.0,False,False
