source_row,site_number,sample_date,location,sample_number,sampler,depth,latitude,longitude,k_brevisulcata_cells_l,k_brevisulcata_reported_not_detected,k_mikimotoi_cells_l,k_mikimotoi_reported_not_detected,k_papilionacea_cells_l,k_papilionacea_reported_not_detected,k_longicanalis_cells_l,k_longicanalis_reported_not_detected,k_brevis_cells_l,k_brevis_reported_not_detected,k_cristata_cells_l,k_cristata_reported_not_detected,k_hui_cells_l,k_hui_reported_not_detected,karenia_total_cells_l,karenia_species_detected,k_cristata_detected,k_cristata_share,nearest_grid_latitude,nearest_grid_longitude,source_record,source_license
1,1,2025-03-18,Encounter Bay Boat Ramp,VHFK 15,SA EPA/SARDI,Surface,-35.585,138.598,0.0,False,197400.0,False,0.0,False,0.0,False,0.0,True,122600.0,False,0.0,True,320000.0,2,True,0.383125,-35.625,138.625,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
2,2,2025-03-18,Petrel Cove Beach,VHFK 52,SA EPA/SARDI,Surface,-35.593,138.6,0.0,False,109761.0,False,0.0,False,0.0,False,0.0,True,600239.0,False,0.0,True,710000.0,2,True,0.8454070422535211,-35.625,138.625,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
3,3,2025-03-18,Waitpinga Beach,VHFK 53,SA EPA/SARDI,Surface,-35.635,138.499,1285.0,False,68501.0,False,0.0,False,0.0,False,0.0,True,1330214.0,False,0.0,True,1400000.0,3,True,0.9501528571428571,-35.625,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
4,4,2025-03-18,Parsons Headland,VHFK 54,SA EPA/SARDI,Surface,-35.634,138.475,1786.0,False,80125.0,False,0.0,False,0.0,False,0.0,True,128089.0,False,0.0,True,210000.0,3,True,0.6099476190476191,-35.625,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
5,5,2025-05-07,Goolwa Beach Site 3,SA Kar. 3,"PIRSA, Clinton Wilkinson",Surface,-35.53906388888889,138.8189888888889,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.0,False,0.0,True,0.0,0,False,0.0,-35.625,138.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
6,6,2025-05-07,Goolwa Beach Site 4,SA Kar. 4,"PIRSA, Clinton Wilkinson",Surface,-35.55078611111111,138.85085833333332,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,78.08035649,False,0.0,True,78.08035649,1,True,1.0,-35.625,138.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
7,17,2025-05-12,Stansbury,ST-05A 12/5/2025,"PIRSA, Clinton Wilkinson",Integrated tube (4m),-34.898,137.826,15130.26759,False,256349.4982,False,0.0,False,2439.009396,False,0.0,True,8906825.203,False,0.0,True,9180743.978186,4,True,0.970163771494244,-34.875,137.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
8,7,2025-05-13,"Stokes Bay, Kangaroo Island",AWQC Kangaroo Island,"PIRSA, Clinton Wilkinson",Surface,-35.625,137.159,0.0,False,39.902687,False,0.0,False,0.0,False,0.0,True,173.8564012,False,0.0,True,213.7590882,2,True,0.8133286994438068,-35.625,137.125,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
9,26,2025-05-22,Gulf St Vincent,GILES K01,SARDI – SAIMOS/RV Ngerin,Deep chlorophyll maximum (DCM),-34.786,138.3,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.0,False,0.0,True,0.0,0,False,0.0,-34.875,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
10,27,2025-05-22,Gulf St Vincent,PT.M06 KO1,SARDI – SAIMOS/RV Ngerin,Deep chlorophyll maximum (DCM),-35.184,137.614,2.304693292,False,158.0911108,False,0.0,False,0.0,False,0.0,True,2802.593286,False,0.0,True,2962.989090092,3,True,0.9458668934595976,-35.125,137.625,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
11,28,2025-05-22,Gulf St Vincent,STAN K01,SARDI – SAIMOS/RV Ngerin,Deep chlorophyll maximum (DCM),-34.94,137.88,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,69.61938356,False,0.0,True,69.61938356,1,True,1.0,-34.875,137.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
12,29,2025-05-22,Gulf St Vincent,EDIT K01,SARDI – SAIMOS/RV Ngerin,Deep chlorophyll maximum (DCM),-35.137,137.878,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.0,False,0.0,True,0.0,0,False,0.0,-35.125,137.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
