model,seed,ap,brier,ece,fit_seconds,parameter_count,complexity,test_rows,test_events,inference_seconds,epochs,final_training_loss
Logistic,17,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.017549025999869627,7.0,7个预测系数,177,26,,,
Random Forest,17,0.6266128821296896,0.08550582538876383,0.07765982743283448,0.4068694070001584,,120棵树,177,26,,,
轻量TCN,17,0.6031093611409597,0.11342681321620962,0.14775304887616597,1.354670898999757,119.0,119个可训练参数,177,26,0.001016004000121029,60.0,0.3838936875590265
Logistic,42,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.031508614999893325,7.0,7个预测系数,177,26,,,
Random Forest,42,0.6060908160194354,0.08385208189164926,0.07198937047458992,0.42997709500014025,,120棵树,177,26,,,
轻量TCN,42,0.5970944184453634,0.10424503023672246,0.10471192976871391,1.3325757669999803,119.0,119个可训练参数,177,26,0.0010439460002089618,60.0,0.3883949805593185
Logistic,73,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.019539453000106732,7.0,7个预测系数,177,26,,,
Random Forest,73,0.6460066877489693,0.08234740989693665,0.0677452470905444,0.4000484919997689,,120棵树,177,26,,,
轻量TCN,73,0.6344275635948506,0.16478101934916234,0.29041947987443467,1.411765610999737,119.0,119个可训练参数,177,26,0.0012083139999958803,60.0,0.4451888013176964
Logistic,101,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.08074061400020582,7.0,7个预测系数,177,26,,,
Random Forest,101,0.6518761243954367,0.08238664777815861,0.07262158187135731,0.4016259360000731,,120棵树,177,26,,,
轻量TCN,101,0.5308573652595111,0.11088650931687144,0.12638730472467677,1.3809009460001107,119.0,119个可训练参数,177,26,0.0010278719996676955,60.0,0.3872218958432913
Logistic,149,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.04572865599993747,7.0,7个预测系数,177,26,,,
Random Forest,149,0.6645151465246261,0.08264895881263355,0.06499258148360318,0.39705417499999385,,120棵树,177,26,,,
轻量TCN,149,0.652996683968896,0.10358144767205058,0.12492762109878977,1.3644817459999103,119.0,119个可训练参数,177,26,0.0012749640000038198,60.0,0.3478091268171014
