sample_date,samples,regions,target_hab_events,target_hab_share,a_tamarense_peak_cells_l,d_acuta_peak_cells_l,mean_sst_c,mean_salinity_psu
2006-04-03,2,2,0,0.0,0,0,4.11467866897583,31.125082588195802
2006-04-18,4,4,0,0.0,0,0,5.78781631231308,32.0754700088501
2006-04-23,1,1,0,0.0,0,0,6.68471172451973,29.2016620635986
2006-04-24,5,5,0,0.0,0,0,6.457400161981582,32.240595418930056
2006-05-01,1,1,0,0.0,0,0,7.11561284065247,31.3174207687378
2006-05-02,8,8,0,0.0,120,0,7.415586916009585,31.724158289035163
2006-05-07,1,1,0,0.0,40,0,8.03342728614807,31.9088920593262
2006-05-08,7,7,0,0.0,0,0,9.418624726250057,31.002791306404855
2006-05-15,9,9,0,0.0,0,0,9.283317620136113,31.1204212861591
2006-05-22,9,9,0,0.0,0,40,9.75234257583265,30.343123963850523
2006-05-28,1,1,0,0.0,0,0,8.89781856536865,34.1865615844727
2006-05-29,8,8,0,0.0,0,80,10.218832145035266,30.69259350915749
2006-06-06,9,9,0,0.0,0,40,10.299544170079411,31.528091140676413
2006-06-12,9,9,0,0.0,40,40,11.598827841370186,31.50627933449214
2006-06-18,1,1,0,0.0,40,0,9.15559196472168,34.3264350891113
2006-06-19,8,8,0,0.0,0,0,13.232996452748788,31.130632401506112
2006-06-25,1,1,0,0.0,0,0,9.71338176727295,34.3194541931152
2006-06-26,8,8,0,0.0,40,0,13.896794172823412,31.19103308220704
2006-07-02,3,3,1,0.3333333333333333,320,0,15.456093247731532,31.50090441703797
2006-07-03,6,6,0,0.0,0,40,15.6465115992228,31.314477043681666
2006-07-09,1,1,0,0.0,0,0,17.6501726150513,30.2473819732666
2006-07-10,8,8,1,0.125,120,240,16.07345536887645,31.38323705275854
2006-07-17,8,8,0,0.0,80,200,15.655184674263,30.61003743131956
2006-07-18,1,1,0,0.0,0,80,12.596949338913,33.6890864372253
2006-07-24,9,9,2,0.2222222222222222,0,400,17.16104909561299,30.993338165813018
2006-07-31,6,6,0,0.0,0,200,15.931078351603617,32.259782536294715
2006-08-01,1,1,0,0.0,0,80,21.1325324773788,27.7427421808243
2006-08-07,8,8,0,0.0,0,160,17.249194165368888,31.241739827394476
2006-08-08,1,1,0,0.0,0,0,21.0814930200577,28.0752400159836
2006-08-14,9,9,0,0.0,0,80,17.365959644052733,31.001971315454544
2006-08-20,1,1,0,0.0,0,40,19.4847786903381,30.6332810401916
2006-08-21,8,8,0,0.0,0,160,16.472353828152038,30.957355528871226
2006-08-27,1,1,0,0.0,0,0,11.9207649230957,34.2149200439453
2006-08-28,7,7,1,0.14285714285714285,0,240,17.478911703427627,29.722860309737055
2006-09-04,9,9,1,0.1111111111111111,40,400,15.72869977438891,31.292261975429668
2006-09-11,6,6,0,0.0,0,40,14.859625104268384,32.09750280804105
2006-09-12,1,1,0,0.0,0,160,11.553018450737,33.466988325119
2006-09-18,9,9,1,0.1111111111111111,0,360,15.079544254144022,32.1166217470169
2006-09-25,7,7,0,0.0,0,40,14.87958404177713,31.91488227753413
2006-09-26,2,2,0,0.0,0,200,14.17019319534305,32.24525570869445
2006-10-02,8,8,1,0.125,0,520,14.139702039460325,32.125061009724924
2006-10-09,5,5,0,0.0,0,0,13.58765910243992,32.86698565292358
2006-10-10,3,3,0,0.0,0,40,15.606883197360567,30.868076682090734
2006-10-16,6,6,0,0.0,0,80,14.460512861145881,31.9513728316625
2006-10-23,4,4,1,0.25,0,240,14.292121844490374,31.427153484026576
2006-10-30,4,4,2,0.5,40,320,13.448469094435374,31.804501275221526
2007-02-26,2,2,0,0.0,0,0,4.865581011772155,32.4952217102051
2007-03-04,4,4,0,0.0,0,0,3.82607507138025,31.6175164767674
2007-03-05,1,1,0,0.0,0,0,6.52730178833008,34.0278720855713
2007-03-07,1,1,0,0.0,0,0,4.23101306915283,32.7184744262695
2007-03-12,6,6,0,0.0,0,0,4.733673737332933,31.823708428655365
2007-03-19,4,4,0,0.0,0,0,5.811940031051638,33.535383110046375
2007-03-26,7,7,0,0.0,120,80,5.814738688695998,33.102848839078625
2007-04-10,5,5,0,0.0,40,0,6.2413355050087,33.4221054134369
2007-04-16,6,6,0,0.0,20,0,6.796662685076395,33.409141856829315
2007-04-23,6,6,0,0.0,40,0,6.7940793333450955,33.41221291859945
2007-04-30,7,7,1,0.14285714285714285,240,0,8.137777528478987,32.273679276875086
2007-05-07,7,7,0,0.0,40,0,8.667080938248407,31.959811585744202
2007-05-08,1,1,0,0.0,0,0,7.57485973834991,34.2069497108459
2007-05-14,7,7,0,0.0,0,0,9.471586243595393,31.304047264825726
2007-05-15,1,1,0,0.0,0,0,8.36756467819214,33.7630100250244
2007-05-21,5,5,0,0.0,40,80,9.084427722930915,32.58917636108396
2007-05-22,2,2,0,0.0,0,0,9.367523318529145,32.7010940551758
2007-05-29,4,4,0,0.0,0,0,10.716601029038433,31.79189811468125
2007-06-03,1,1,0,0.0,0,0,11.4661388397217,32.5866775512695
2007-06-04,6,6,0,0.0,0,40,12.039194854100534,32.1904746834437
2007-06-11,7,7,0,0.0,0,40,13.465839867932457,32.257278037752414
2007-06-18,7,7,0,0.0,0,0,11.926346162387313,32.238856851032814
2007-06-25,10,10,0,0.0,0,40,14.80475558609054,29.43054874124981
2007-07-02,10,10,0,0.0,120,0,14.47226432088442,29.929801771254763
2007-07-09,8,8,1,0.125,480,160,14.910158962862813,31.107111790350512
2007-07-15,1,1,0,0.0,0,0,14.2696599960327,33.6234970092773
2007-07-16,7,7,1,0.14285714285714285,840,40,15.304810351644244,31.538997389929627
2007-07-17,1,1,0,0.0,0,0,12.5987887382507,33.9171154499054
2007-07-23,10,10,1,0.1,40,240,14.807530215183899,31.320540235837303
2007-07-30,5,5,1,0.2,440,0,13.0913818359375,33.51239666938782
2007-07-31,2,2,0,0.0,0,20,14.827008562088,31.2213972854614
2007-08-06,7,7,1,0.14285714285714285,0,240,14.520207218442659,32.69998437881468
2007-08-13,7,7,0,0.0,120,40,15.866620082514629,32.48588054384504
2007-08-19,1,1,0,0.0,0,0,16.1540119171143,31.514278793335
2007-08-20,6,6,0,0.0,0,40,14.9706864877542,32.64360109647115
2007-08-27,6,6,0,0.0,0,80,14.847670071919751,32.33936285972593
2007-08-28,1,1,1,1.0,0,320,13.247338950634,33.5852599143982
2007-08-29,1,1,0,0.0,0,160,14.566358089447,31.9721555709839
2007-09-03,7,7,0,0.0,0,200,13.450715379033756,32.77095767566136
2007-09-09,1,1,0,0.0,0,40,12.4898600578308,32.6316242218018
2007-09-10,6,6,1,0.16666666666666666,0,2440,12.813499172131232,32.987941967646286
2007-09-17,7,7,1,0.14285714285714285,0,360,12.163359576634013,33.1318007496425
2007-09-24,7,7,1,0.14285714285714285,0,320,11.952595968927643,32.80401585033962
2007-10-01,7,7,0,0.0,0,120,11.777651348114015,32.5791295691899
2007-10-07,1,1,0,0.0,0,0,11.3614745140076,32.9965934753418
2007-10-08,5,5,0,0.0,0,40,11.85440334129334,32.33416286468506
2007-10-15,4,4,0,0.0,0,80,11.4467299199104,32.47681359291077
2007-10-22,4,4,0,0.0,0,120,10.82012045621875,32.5162118911743
2007-10-29,3,3,0,0.0,0,0,10.890771684646632,32.11916774749756
2007-11-05,1,1,0,0.0,0,0,10.2585887527466,29.5582664489746
2008-02-25,3,3,0,0.0,0,0,5.5423663894335435,32.4530708412897
2008-03-02,2,2,0,0.0,20,0,6.161558561325075,33.442039546966555
2008-03-03,2,2,0,0.0,0,0,5.51505373196724,32.03278382130155
2008-03-10,6,6,0,0.0,120,40,6.0269614467457835,33.57419896932748
2008-03-25,11,11,0,0.0,0,0,4.717013506599556,33.280630703239176
2008-03-31,12,12,0,0.0,160,0,5.251684349968175,33.083755141000324
2008-04-06,1,1,0,0.0,200,0,5.95094239406097,33.9653878823305
2008-04-07,7,7,0,0.0,40,0,5.3895943239756985,33.40567826251594
2008-04-09,1,1,0,0.0,0,0,5.62591174244881,33.9663178920746
2008-04-14,10,10,2,0.2,300,0,5.800482831677239,32.69389699782206
2008-04-15,1,1,0,0.0,0,0,5.82218530774117,34.0396428108215
2008-04-21,12,12,0,0.0,0,0,6.886976619695788,32.312158398794146
2008-04-27,1,1,0,0.0,0,0,7.37813590123103,33.4840848873823
2008-04-28,9,9,0,0.0,160,80,8.113834538081338,31.21297044254484
2008-04-29,1,1,0,0.0,0,0,5.69687792658806,33.8099234104156
2008-05-05,10,10,0,0.0,40,0,9.475538893860337,31.604171992151727
2008-05-07,1,1,0,0.0,0,0,7.51294705271721,33.7081789970398
2008-05-12,1,1,0,0.0,0,0,12.9026840209961,27.7217225646973
2008-05-13,12,12,0,0.0,0,0,9.943320543286786,30.831631868255275
2008-05-19,13,13,0,0.0,0,0,9.350313298401955,30.530693053406505
2008-05-26,9,9,0,0.0,0,0,9.860132315592601,32.56524197531465
2008-05-27,1,1,0,0.0,0,0,8.35896646976471,33.6781032085419
2008-06-02,11,11,0,0.0,0,40,11.942347886671904,31.45073071732903
2008-06-09,10,10,0,0.0,120,0,13.53619056823926,31.20125324115823
2008-06-10,1,1,0,0.0,0,0,9.61153775453568,33.6900498867035
2008-06-16,9,9,0,0.0,40,0,12.132115033098872,32.52869609497405
2008-06-23,9,9,1,0.1111111111111111,240,40,12.058994449236849,32.628797074276385
2008-06-29,1,1,0,0.0,0,0,14.6243710517883,33.006010055542
2008-06-30,12,12,1,0.08333333333333333,640,0,13.657227546202238,31.128338100033933
2008-07-06,1,1,0,0.0,0,0,13.175612449646,33.317699432373
2008-07-07,8,8,0,0.0,0,40,14.81452291491705,32.25859608139745
2008-07-14,10,10,0,0.0,0,60,14.84494575703101,31.79187340055892
2008-07-16,1,1,0,0.0,0,0,10.2819921970367,34.1787147521973
2008-07-21,12,12,0,0.0,0,0,14.959308096559793,31.696251022611907
2008-07-28,9,9,0,0.0,0,0,17.711579455514254,31.78338965139983
2008-07-29,1,1,0,0.0,0,0,13.4849749803543,33.7247455120087
2008-08-04,8,8,0,0.0,0,0,16.195044259998813,32.38609710922171
2008-08-05,1,1,0,0.0,0,0,11.8475235104561,33.9699513912201
2008-08-11,9,9,0,0.0,0,80,14.596512750827234,32.70762358107701
2008-08-18,9,9,0,0.0,40,40,16.696606372876733,31.869239352625655
2008-08-19,1,1,0,0.0,0,0,10.2857660566057,34.0361649649484
2008-08-25,10,10,0,0.0,40,80,15.131981784329742,32.30240382565161
2008-09-01,10,10,0,0.0,0,40,15.21648327054297,32.36561132048513
2008-09-08,10,10,0,0.0,40,0,14.330222956308067,32.53457118901053
2008-09-15,10,10,0,0.0,0,0,14.220951598846861,32.66165895918263
2008-09-22,9,9,0,0.0,0,20,14.436716253061721,32.63809619088457
2008-09-23,1,1,0,0.0,0,0,11.6357386112213,33.4750936031342
2008-09-29,9,9,0,0.0,0,0,13.465098807596299,32.83727329116746
2008-09-30,1,1,0,0.0,0,0,14.8101761817932,32.4322601318359
2008-10-06,7,7,0,0.0,40,40,13.183408596437058,32.54922693846426
2008-10-07,1,1,0,0.0,0,0,13.1460928726196,32.8661347198486
2008-10-08,1,1,0,0.0,0,0,11.0120452642441,33.4584174156189
2008-10-13,8,8,0,0.0,0,0,12.759540817737575,32.73150719667091
2008-10-20,6,6,0,0.0,0,0,12.658769124226685,32.79548566492195
2008-10-27,4,4,0,0.0,0,0,11.961219507180726,33.06131765414507
2009-03-02,3,3,0,0.0,0,40,4.527111653199746,32.68957964514056
2009-03-09,4,4,0,0.0,0,0,5.047818495499228,32.9362411671974
2009-03-16,8,8,0,0.0,40,40,4.777766399826585,32.811068844101925
2009-03-23,9,9,0,0.0,40,0,4.874939110690275,33.04902764516155
2009-03-30,11,11,0,0.0,40,0,4.8772500209274545,33.1773895315969
2009-03-31,1,1,0,0.0,0,0,5.11292219161987,34.1447563171387
2009-04-13,1,1,0,0.0,0,0,6.87132480621338,30.5858443450928
2009-04-14,14,14,0,0.0,0,0,6.333820497452614,32.31432758448948
2009-04-20,13,13,0,0.0,80,0,6.867769385377826,32.16154983252622
2009-04-27,14,14,1,0.07142857142857142,320,0,8.07668779039084,31.577819404974743
2009-05-03,1,1,0,0.0,40,0,8.4833704386002,32.2766209137745
2009-05-04,11,11,0,0.0,0,40,8.66495231440057,32.15432696934714
2009-05-11,12,12,1,0.08333333333333333,480,0,8.732474537741618,31.279041870518725
2009-05-18,9,9,1,0.1111111111111111,240,0,10.51777666049178,31.31331479950132
2009-05-19,1,1,0,0.0,40,0,11.840823173523,32.546760559082
2009-05-25,12,12,2,0.16666666666666666,480,0,10.68936859135067,31.527743564941375
2009-06-02,8,8,0,0.0,40,0,11.069972974748621,31.522651902175223
2009-06-03,1,1,0,0.0,0,0,9.97855281829834,32.7028961181641
2009-06-08,10,10,0,0.0,80,0,10.839436474137244,32.52993312801109
2009-06-09,2,2,0,0.0,0,0,12.807797642910149,30.784902236244847
2009-06-14,1,1,0,0.0,0,0,9.27760940943009,34.1520579411433
2009-06-15,11,11,0,0.0,0,0,10.695485937674183,32.57133112417061
2009-06-21,1,1,0,0.0,40,0,10.6691688146347,33.8959312438965
2009-06-22,10,10,1,0.1,240,0,12.194671847262946,32.36355803812324
2009-06-23,1,1,0,0.0,0,0,12.8844041824341,33.226993560791
2009-06-28,1,1,0,0.0,160,0,13.0473776597243,33.7183393820738
2009-06-29,10,10,1,0.1,1440,40,14.45968298178731,32.13238841633983
2009-07-06,12,12,1,0.08333333333333333,640,40,16.13006550783137,31.83775242895658
2009-07-08,1,1,0,0.0,0,0,10.6704034805298,33.931688785553
2009-07-13,9,9,0,0.0,160,0,13.996438364966544,31.9878401356193
2009-07-20,10,10,0,0.0,160,80,14.072916965303998,32.166217709021126
