dataset,sea,records,stations,station_dates,dates,first,last
microalgae,东海,556,72,85,26,2019-07-07,2021-10-22
microalgae,南海,2695,236,307,93,2019-02-23,2021-12-13
microalgae,边界过渡区,178,23,31,11,2019-07-14,2021-10-18
molecular,东海,8112,39,39,15,2019-07-11,2021-04-19
molecular,南海,15560,187,187,55,2019-07-26,2021-09-26
molecular,渤海,2704,13,13,6,2019-06-11,2019-06-16
molecular,边界过渡区,1664,8,8,4,2019-06-10,2019-07-26
molecular,黄海,5200,25,25,10,2019-07-11,2021-11-05
animal_toxin,东海,72,16,63,23,2019-05-26,2021-10-22
animal_toxin,南海,134,10,10,7,2021-04-14,2021-05-05
animal_toxin,坐标缺失,144,1,22,22,2021-02-26,2021-06-30
animal_toxin,渤海,42,17,17,2,2020-06-10,2020-08-13
animal_toxin,边界过渡区,34,4,27,10,2020-05-27,2021-10-18
animal_toxin,黄海,14,7,7,2,2020-05-19,2020-05-27
water_toxin,渤海,31,31,31,10,2019-06-11,2020-11-13
water_toxin,边界过渡区,10,10,10,4,2019-06-10,2020-11-14
water_toxin,黄海,35,35,35,15,2019-07-21,2020-11-15
plankton_toxin,东海,134,82,131,56,2019-05-26,2021-10-22
plankton_toxin,南海,258,230,258,70,2019-06-11,2021-12-13
plankton_toxin,渤海,24,24,24,9,2019-06-11,2020-11-13
plankton_toxin,边界过渡区,38,14,38,16,2019-06-10,2021-10-18
plankton_toxin,黄海,35,35,35,17,2019-06-11,2020-11-15
