sea,model,seed,n,station_dates,positive_rate,AP,Brier,ECE,seconds
全部,物种检出率基线,17,1980,60,0.5646464646464646,0.6735374114350897,0.38623801861376533,0.3500317879024941,2.4199994186346885e-07
南海,物种检出率基线,17,1980,60,0.5646464646464646,0.6735374114350897,0.38623801861376533,0.3500317879024941,2.4199994186346885e-07
全部,Logistic,17,1980,60,0.5646464646464646,0.6343712859600001,0.40776164625358974,0.37897978931719223,0.0597675229998913
南海,Logistic,17,1980,60,0.5646464646464646,0.6343712859600001,0.40776164625358974,0.37897978931719223,0.0597675229998913
全部,HistGradientBoosting,17,1980,60,0.5646464646464646,0.6757647670709701,0.25641136447410157,0.11766855264400627,0.49918042399986007
南海,HistGradientBoosting,17,1980,60,0.5646464646464646,0.6757647670709701,0.25641136447410157,0.11766855264400627,0.49918042399986007
全部,物种检出率基线,42,1980,60,0.5646464646464646,0.6735374114350897,0.38623801861376533,0.3500317879024941,6.550001216965029e-07
南海,物种检出率基线,42,1980,60,0.5646464646464646,0.6735374114350897,0.38623801861376533,0.3500317879024941,6.550001216965029e-07
全部,Logistic,42,1980,60,0.5646464646464646,0.6343712859600001,0.40776164625358974,0.37897978931719223,0.05975726199994824
南海,Logistic,42,1980,60,0.5646464646464646,0.6343712859600001,0.40776164625358974,0.37897978931719223,0.05975726199994824
全部,HistGradientBoosting,42,1980,60,0.5646464646464646,0.6757647670709701,0.25641136447410157,0.11766855264400627,0.4779866579999634
南海,HistGradientBoosting,42,1980,60,0.5646464646464646,0.6757647670709701,0.25641136447410157,0.11766855264400627,0.4779866579999634
全部,物种检出率基线,73,1980,60,0.5646464646464646,0.6735374114350897,0.38623801861376533,0.3500317879024941,7.220000952656846e-07
南海,物种检出率基线,73,1980,60,0.5646464646464646,0.6735374114350897,0.38623801861376533,0.3500317879024941,7.220000952656846e-07
全部,Logistic,73,1980,60,0.5646464646464646,0.6343712859600001,0.40776164625358974,0.37897978931719223,0.060726370000111274
南海,Logistic,73,1980,60,0.5646464646464646,0.6343712859600001,0.40776164625358974,0.37897978931719223,0.060726370000111274
全部,HistGradientBoosting,73,1980,60,0.5646464646464646,0.6757647670709701,0.25641136447410157,0.11766855264400627,0.5093906249999236
南海,HistGradientBoosting,73,1980,60,0.5646464646464646,0.6757647670709701,0.25641136447410157,0.11766855264400627,0.5093906249999236
