sea,model,seed,n,station_dates,positive_rate,AP,Brier,ECE,seconds
全部,物种检出率基线,17,3120,30,0.025961538461538463,0.2896768731953917,0.0359025234025234,0.03505799755799757,3.2100001590151805e-07
黄海,物种检出率基线,17,936,9,0.05448717948717949,0.5564691662730878,0.033831908831908834,0.025183150183150187,3.2100001590151805e-07
东海,物种检出率基线,17,2184,21,0.013736263736263736,0.18975209975209975,0.0367899296470725,0.04609279609279609,3.2100001590151805e-07
全部,Logistic,17,3120,30,0.025961538461538463,0.44378070581371887,0.07039702265418206,0.13740252522632262,0.02164524399995571
黄海,Logistic,17,936,9,0.05448717948717949,0.5583477946489972,0.14890882593523821,0.32703388418011375,0.02164524399995571
东海,Logistic,17,2184,21,0.013736263736263736,0.18995247795950576,0.03674910696230085,0.056131942817555056,0.02164524399995571
全部,HistGradientBoosting,17,3120,30,0.025961538461538463,0.205309469193235,0.0370216741922952,0.034018269023063305,0.3128831280000668
黄海,HistGradientBoosting,17,936,9,0.05448717948717949,0.6450113748872033,0.028997767338081733,0.01844053769646912,0.3128831280000668
东海,HistGradientBoosting,17,2184,21,0.013736263736263736,0.12716854057014393,0.040460491415529536,0.05272253528379842,0.3128831280000668
全部,物种检出率基线,42,3120,30,0.025961538461538463,0.2896768731953917,0.0359025234025234,0.03505799755799757,2.050400007647113e-05
黄海,物种检出率基线,42,936,9,0.05448717948717949,0.5564691662730878,0.033831908831908834,0.025183150183150187,2.050400007647113e-05
东海,物种检出率基线,42,2184,21,0.013736263736263736,0.18975209975209975,0.0367899296470725,0.04609279609279609,2.050400007647113e-05
全部,Logistic,42,3120,30,0.025961538461538463,0.44378070581371887,0.07039702265418206,0.13740252522632262,0.027259952999884263
黄海,Logistic,42,936,9,0.05448717948717949,0.5583477946489972,0.14890882593523821,0.32703388418011375,0.027259952999884263
东海,Logistic,42,2184,21,0.013736263736263736,0.18995247795950576,0.03674910696230085,0.056131942817555056,0.027259952999884263
全部,HistGradientBoosting,42,3120,30,0.025961538461538463,0.205309469193235,0.0370216741922952,0.034018269023063305,0.3187896599999931
黄海,HistGradientBoosting,42,936,9,0.05448717948717949,0.6450113748872033,0.028997767338081733,0.01844053769646912,0.3187896599999931
东海,HistGradientBoosting,42,2184,21,0.013736263736263736,0.12716854057014393,0.040460491415529536,0.05272253528379842,0.3187896599999931
全部,物种检出率基线,73,3120,30,0.025961538461538463,0.2896768731953917,0.0359025234025234,0.03505799755799757,4.539999736152822e-07
黄海,物种检出率基线,73,936,9,0.05448717948717949,0.5564691662730878,0.033831908831908834,0.025183150183150187,4.539999736152822e-07
东海,物种检出率基线,73,2184,21,0.013736263736263736,0.18975209975209975,0.0367899296470725,0.04609279609279609,4.539999736152822e-07
全部,Logistic,73,3120,30,0.025961538461538463,0.44378070581371887,0.07039702265418206,0.13740252522632262,0.021973376000005373
黄海,Logistic,73,936,9,0.05448717948717949,0.5583477946489972,0.14890882593523821,0.32703388418011375,0.021973376000005373
东海,Logistic,73,2184,21,0.013736263736263736,0.18995247795950576,0.03674910696230085,0.056131942817555056,0.021973376000005373
全部,HistGradientBoosting,73,3120,30,0.025961538461538463,0.205309469193235,0.0370216741922952,0.034018269023063305,0.3067587640000511
黄海,HistGradientBoosting,73,936,9,0.05448717948717949,0.6450113748872033,0.028997767338081733,0.01844053769646912,0.3067587640000511
东海,HistGradientBoosting,73,2184,21,0.013736263736263736,0.12716854057014393,0.040460491415529536,0.05272253528379842,0.3067587640000511
