longitude,latitude,date,sea,station,dataset
109.980056,18.423639,2019-02-23,南海,109.9801_18.4236,microalgae
109.963583,18.387,2019-02-23,南海,109.9636_18.387,microalgae
110.041333,18.426611,2019-02-24,南海,110.0413_18.4266,microalgae
110.056806,18.441472,2019-02-24,南海,110.0568_18.4415,microalgae
109.988,18.402,2019-02-25,南海,109.988_18.402,microalgae
109.977278,18.409694,2019-02-25,南海,109.9773_18.4097,microalgae
110.041333,18.426611,2019-04-23,南海,110.0413_18.4266,microalgae
110.056806,18.441472,2019-04-23,南海,110.0568_18.4415,microalgae
109.963583,18.387,2019-04-24,南海,109.9636_18.387,microalgae
110.017083,18.424583,2019-04-24,南海,110.0171_18.4246,microalgae
109.980056,18.423639,2019-04-24,南海,109.9801_18.4236,microalgae
109.988,18.402,2019-04-25,南海,109.988_18.402,microalgae
109.977278,18.409694,2019-04-25,南海,109.9773_18.4097,microalgae
112.4803,21.44,2019-06-11,南海,112.4803_21.44,microalgae
112.5217,21.3306,2019-06-11,南海,112.5217_21.3306,microalgae
112.3983,21.64,2019-06-11,南海,112.3983_21.64,microalgae
112.5511,21.2503,2019-06-11,南海,112.5511_21.2503,microalgae
112.4489,21.5533,2019-06-11,南海,112.4489_21.5533,microalgae
112.5875,21.1536,2019-06-12,南海,112.5875_21.1536,microalgae
113.3481,21.2042,2019-06-12,南海,113.3481_21.2042,microalgae
113.2361,21.5028,2019-06-12,南海,113.2361_21.5028,microalgae
113.2881,21.3219,2019-06-12,南海,113.2881_21.3219,microalgae
112.6197,21.0611,2019-06-12,南海,112.6197_21.0611,microalgae
113.1514,21.7297,2019-06-12,南海,113.1514_21.7297,microalgae
113.2739,21.3981,2019-06-12,南海,113.2739_21.3981,microalgae
113.2031,21.5931,2019-06-12,南海,113.2031_21.5931,microalgae
113.8986,21.5392,2019-06-13,南海,113.8986_21.5392,microalgae
113.7986,21.8133,2019-06-13,南海,113.7986_21.8133,microalgae
113.9272,21.4494,2019-06-13,南海,113.9272_21.4494,microalgae
113.8297,21.72,2019-06-13,南海,113.8297_21.72,microalgae
113.8633,21.6311,2019-06-13,南海,113.8633_21.6311,microalgae
113.1097,21.8344,2019-06-13,南海,113.1097_21.8344,microalgae
113.7592,21.8869,2019-06-13,南海,113.7592_21.8869,microalgae
113.7092,22.0639,2019-06-13,南海,113.7092_22.0639,microalgae
113.7222,21.9886,2019-06-13,南海,113.7222_21.9886,microalgae
114.4889,21.8786,2019-06-14,南海,114.4889_21.8786,microalgae
114.6736,21.5528,2019-06-14,南海,114.6736_21.5528,microalgae
113.9581,21.3633,2019-06-14,南海,113.9581_21.3633,microalgae
114.5344,21.7947,2019-06-14,南海,114.5344_21.7947,microalgae
114.625,21.6367,2019-06-14,南海,114.625_21.6367,microalgae
114.5764,21.7186,2019-06-14,南海,114.5764_21.7186,microalgae
110.041333,18.426611,2019-06-15,南海,110.0413_18.4266,microalgae
110.017083,18.424583,2019-06-16,南海,110.0171_18.4246,microalgae
109.980056,18.423639,2019-06-16,南海,109.9801_18.4236,microalgae
109.963583,18.387,2019-06-16,南海,109.9636_18.387,microalgae
109.977278,18.409694,2019-06-17,南海,109.9773_18.4097,microalgae
109.988,18.402,2019-06-17,南海,109.988_18.402,microalgae
122.77,30.68,2019-07-07,东海,122.77_30.68,microalgae
122.74,30.71,2019-07-07,东海,122.74_30.71,microalgae
122.83,30.69,2019-07-07,东海,122.83_30.69,microalgae
110.056806,18.441472,2019-07-12,南海,110.0568_18.4415,microalgae
110.041333,18.426611,2019-07-12,南海,110.0413_18.4266,microalgae
110.017083,18.424583,2019-07-13,南海,110.0171_18.4246,microalgae
109.963583,18.387,2019-07-13,南海,109.9636_18.387,microalgae
109.980056,18.423639,2019-07-13,南海,109.9801_18.4236,microalgae
117.55,23.75,2019-07-14,边界过渡区,117.55_23.75,microalgae
117.53,23.76,2019-07-14,边界过渡区,117.53_23.76,microalgae
109.977278,18.409694,2019-07-14,南海,109.9773_18.4097,microalgae
117.56,23.75,2019-07-14,边界过渡区,117.56_23.75,microalgae
109.988,18.402,2019-07-15,南海,109.988_18.402,microalgae
119.9,26.41,2019-07-16,东海,119.9_26.41,microalgae
119.89,26.39,2019-07-16,东海,119.89_26.39,microalgae
119.88,26.37,2019-07-16,东海,119.88_26.37,microalgae
121.7,28.83,2019-08-18,东海,121.7_28.83,microalgae
121.8,29.04,2019-08-18,东海,121.8_29.04,microalgae
121.74,28.87,2019-08-18,东海,121.74_28.87,microalgae
121.74,28.77,2019-08-18,东海,121.74_28.77,microalgae
121.81,28.84,2019-08-18,东海,121.81_28.84,microalgae
121.88,28.87,2019-08-18,东海,121.88_28.87,microalgae
121.75,28.96,2019-08-18,东海,121.75_28.96,microalgae
121.78,28.9,2019-08-18,东海,121.78_28.9,microalgae
121.79,28.85,2019-08-18,东海,121.79_28.85,microalgae
121.77,28.86,2019-08-18,东海,121.77_28.86,microalgae
121.67,29.09,2019-08-18,东海,121.67_29.09,microalgae
121.88,28.92,2019-08-18,东海,121.88_28.92,microalgae
121.64,28.9,2019-08-18,东海,121.64_28.9,microalgae
121.69,28.88,2019-08-18,东海,121.69_28.88,microalgae
121.75,28.81,2019-08-18,东海,121.75_28.81,microalgae
121.7,28.69,2019-08-19,东海,121.7_28.69,microalgae
121.69,28.62,2019-08-19,东海,121.69_28.62,microalgae
122.15,28.74,2019-08-19,东海,122.15_28.74,microalgae
121.81,28.66,2019-08-19,东海,121.81_28.66,microalgae
