model,seed,ap,brier,ece,fit_seconds,parameter_count,complexity,test_rows,test_events,inference_seconds,epochs,final_training_loss
Logistic,17,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.018299452000064775,7.0,7个预测系数,177,26,,,
Random Forest,17,0.6266128821296896,0.08550582538876385,0.07765982743283448,0.407805615000143,,120棵树,177,26,,,
轻量TCN,17,0.6031093611409597,0.11342681321620962,0.14775304887616597,1.4063126609999017,119.0,119个可训练参数,177,26,0.0010191210003540618,60.0,0.3838936875590265
Logistic,42,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.028684613999757858,7.0,7个预测系数,177,26,,,
Random Forest,42,0.6060908160194354,0.08385208189164928,0.07198937047458992,0.44032052899910923,,120棵树,177,26,,,
轻量TCN,42,0.5970944184453634,0.10424503023672246,0.10471192976871391,1.411274613000387,119.0,119个可训练参数,177,26,0.0011874929996338324,60.0,0.3883949805593185
Logistic,73,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.055971944999328116,7.0,7个预测系数,177,26,,,
Random Forest,73,0.6460066877489693,0.08234740989693665,0.06774524709054437,0.4578075819999867,,120棵树,177,26,,,
轻量TCN,73,0.6344275635948506,0.16478101934916234,0.29041947987443467,1.355928459000097,119.0,119个可训练参数,177,26,0.001246052000169584,60.0,0.4451888013176964
Logistic,101,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.04467992399986542,7.0,7个预测系数,177,26,,,
Random Forest,101,0.6518761243954367,0.08238664777815861,0.07262158187135731,0.39348568900004466,,120棵树,177,26,,,
轻量TCN,101,0.5308573652595111,0.11088650931687144,0.12638730472467677,1.4239103689997137,119.0,119个可训练参数,177,26,0.0011183400001755217,60.0,0.3872218958432913
Logistic,149,0.6239106974651577,0.0782465983414427,0.03889606092121233,0.0435579080003663,7.0,7个预测系数,177,26,,,
Random Forest,149,0.6645151465246261,0.08264895881263357,0.06499258148360318,0.3917966279996108,,120棵树,177,26,,,
轻量TCN,149,0.652996683968896,0.10358144767205058,0.12492762109878977,1.2971800040004382,119.0,119个可训练参数,177,26,0.0010090050000144402,60.0,0.3478091268171014
