model,seed,ap,brier,ece,fit_seconds,complexity,test_rows,test_events,epochs,final_training_loss,gate_mean,gate_min,gate_max
Logistic,17,0.6239106974651577,0.0782465983414427,0.03889606092121234,0.018793283000377414,7个预测系数,177,26,,,,,
Random Forest,17,0.6266128821296896,0.08550582538876383,0.07765982743283448,0.3019483660000333,120棵树,177,26,,,,,
STS-Interaction GLM,17,0.6735061648560351,0.07306866179288239,0.024160373678570383,0.007456287999957567,6个科学结构特征 + 显式交互,177,26,,,,,
STS-Gated TCN,17,0.4744657579080622,0.11534479512181747,0.15507490923335787,1.5673063040003399,241个可训练参数,177,26,35.0,0.5144408749011344,0.6630261018621881,0.30802691131331117,0.949227337581542
Logistic,42,0.6239106974651577,0.0782465983414427,0.03889606092121234,0.019271830999969097,7个预测系数,177,26,,,,,
Random Forest,42,0.6060908160194354,0.08385208189164926,0.07198937047458992,0.3215405679993637,120棵树,177,26,,,,,
STS-Interaction GLM,42,0.6735061648560351,0.07306866179288239,0.024160373678570383,0.007293446999938169,6个科学结构特征 + 显式交互,177,26,,,,,
STS-Gated TCN,42,0.47337270339550935,0.16741049906029873,0.2632305568756134,1.640374122999674,241个可训练参数,177,26,35.0,0.4666772941317703,0.6153502773480917,0.41345368725700915,0.8369819383910818
Logistic,73,0.6239106974651577,0.0782465983414427,0.03889606092121234,0.020531073999336513,7个预测系数,177,26,,,,,
Random Forest,73,0.6460066877489693,0.08234740989693662,0.06774524709054437,0.32530527000017173,120棵树,177,26,,,,,
STS-Interaction GLM,73,0.6735061648560351,0.07306866179288239,0.024160373678570383,0.0076045589994464535,6个科学结构特征 + 显式交互,177,26,,,,,
STS-Gated TCN,73,0.57893678890798,0.3679436188611658,0.5154120835567193,1.593655382000179,241个可训练参数,177,26,35.0,0.46534213947817543,0.5752930416946759,0.3615417418676905,0.8219908836945159
Logistic,101,0.6239106974651577,0.0782465983414427,0.03889606092121234,0.01997603700056061,7个预测系数,177,26,,,,,
Random Forest,101,0.6518761243954367,0.08238664777815861,0.07262158187135731,0.2828211169999122,120棵树,177,26,,,,,
STS-Interaction GLM,101,0.6735061648560351,0.07306866179288239,0.024160373678570383,0.06551889100046537,6个科学结构特征 + 显式交互,177,26,,,,,
STS-Gated TCN,101,0.6680082747043006,0.09639798653489803,0.09602539701748125,1.6263117339995006,241个可训练参数,177,26,35.0,0.41610128982604416,0.6158831023988417,0.41787817875562344,0.834067791039701
Logistic,149,0.6239106974651577,0.0782465983414427,0.03889606092121234,0.020916896000017005,7个预测系数,177,26,,,,,
Random Forest,149,0.6645151465246261,0.08264895881263357,0.06499258148360318,0.31160562799959735,120棵树,177,26,,,,,
STS-Interaction GLM,149,0.6735061648560351,0.07306866179288239,0.024160373678570383,0.03281382699969981,6个科学结构特征 + 显式交互,177,26,,,,,
STS-Gated TCN,149,0.20023662481100163,0.14328366277793073,0.0947408359876072,1.666318001000036,241个可训练参数,177,26,35.0,0.6657967939806946,0.6271452401031438,0.436210566213367,0.8357082379192675
