region,event_id,start_date,end_date,duration_days,peak_date,peak_score,maximum_scale_agreement,thermal_peak_z,event_basis
Synthetic_Region_C,9,2025-06-25,2025-07-03,9,2025-06-28,4.905578349066362,4,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,11,2025-08-06,2025-08-14,9,2025-08-10,4.847498003125664,4,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_D,4,2024-08-16,2024-08-31,16,2024-08-18,4.2895385109863655,4,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,3,2024-04-28,2024-05-07,10,2024-05-04,4.272269222656062,4,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,7,2025-02-16,2025-02-28,13,2025-02-20,4.030243502656672,4,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,3,2024-07-11,2024-07-24,14,2024-07-15,3.495800600406196,4,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_D,6,2025-07-14,2025-07-24,11,2025-07-19,3.445364247482617,4,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,8,2025-07-23,2025-07-29,7,2025-07-26,3.12187117897689,4,6.271299367510083,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_D,7,2025-09-25,2025-10-11,17,2025-10-01,3.0566062921265003,4,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,1,2024-05-13,2024-05-27,15,2024-05-18,2.888471521550459,4,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,11,2025-10-31,2025-11-03,4,2025-11-02,2.5954537657343684,2,8.0,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,2,2024-02-18,2024-02-29,12,2024-02-24,2.551826027648872,3,5.571732866110114,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_D,2,2024-02-26,2024-03-08,12,2024-03-02,2.518121658772192,3,6.059751747271866,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,10,2025-09-26,2025-10-02,7,2025-09-29,2.4881319299724303,4,6.9585739602504715,"median robust score across [7, 14, 30, 60]d; past-only reference"
