region,observations,sampling_dates,first_sample,last_sample,event_observations,event_share,a_tamarense_peak_cells_l,d_acuta_peak_cells_l,median_sst_c,median_salinity_psu,target_peak_cells_l,observed_hazard_index,farm_exposure_scenario,vulnerability_coefficient,verification_priority_index,priority_level,evidence_grade,recommended_action,hazard_evidence_source,exposure_evidence_source,decision_boundary
Risør,320,320,2006-04-23,2019-09-23,11,0.034375,40,9632,15.33915367722515,29.0875473618507,9632,100.0,0.75,1.0,75.0,一级：立即现场复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,立即组织现场复核；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Tromsø,243,243,2006-05-02,2019-09-30,13,0.053497942386831275,3600,40,10.0836658477783,34.2149200439453,3600,89.27299155715076,0.75,1.0,66.95474366786307,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Bodø,176,176,2006-04-24,2012-10-01,18,0.10227272727272728,2880,2440,10.66195034980775,33.78091728687285,2880,86.84112254027332,0.75,1.0,65.13084190520499,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Vesterålen,216,216,2008-03-25,2019-08-26,29,0.13425925925925927,2200,360,9.67793219430106,34.01759937831335,2200,83.90612721091766,0.75,1.0,62.92959540818825,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
"Festvåg,Mistfjorden",87,87,2016-04-25,2019-09-23,2,0.022988505747126436,2200,40,12.1643857955933,33.4577592213949,2200,83.90612721091766,0.75,1.0,62.92959540818825,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
"Engelsvik,Fredrikstad",170,170,2013-06-24,2019-09-30,1,0.0058823529411764705,0,1600,15.87093524932865,25.572779273986853,1600,80.43632339504573,0.75,1.0,60.327242546284296,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
"Møkland,BøiNordland",54,54,2011-03-22,2012-10-01,9,0.16666666666666666,1480,0,10.21360165732245,34.0376161847796,1480,79.58696851057167,0.75,1.0,59.69022638292875,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Hvaler,199,199,2011-05-05,2019-09-30,4,0.020100502512562814,0,1240,14.9247541427612,25.6803961667148,1240,77.65956206667387,0.75,1.0,58.24467155000541,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Arendal,450,450,2007-03-07,2019-10-28,7,0.015555555555555555,260,1080,13.8935450744629,30.0380086135864,1080,76.15480113562273,0.75,1.0,57.11610085171705,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Bømlo,399,399,2008-03-03,2019-10-28,9,0.022556390977443608,1040,40,12.2751286090949,32.6739462828025,1040,75.74375835118467,0.75,1.0,56.8078187633885,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
