region,observations,sampling_dates,first_sample,last_sample,event_observations,event_share,a_tamarense_peak_cells_l,d_acuta_peak_cells_l,median_sst_c,median_salinity_psu
Vesterålen,216,216,2008-03-25,2019-08-26,29,0.13425925925925927,2200,360,9.67793219430106,34.01759937831335
Bodø,176,176,2006-04-24,2012-10-01,18,0.10227272727272728,2880,2440,10.66195034980775,33.78091728687285
Tromsø,243,243,2006-05-02,2019-09-30,13,0.053497942386831275,3600,40,10.0836658477783,34.2149200439453
Risør,320,320,2006-04-23,2019-09-23,11,0.034375,40,9632,15.33915367722515,29.0875473618507
"Møkland,BøiNordland",54,54,2011-03-22,2012-10-01,9,0.16666666666666666,1480,0,10.21360165732245,34.0376161847796
Bømlo,399,399,2008-03-03,2019-10-28,9,0.022556390977443608,1040,40,12.2751286090949,32.6739462828025
Arendal,450,450,2007-03-07,2019-10-28,7,0.015555555555555555,260,1080,13.8935450744629,30.0380086135864
Gulen,150,150,2006-04-18,2011-10-17,6,0.04,640,200,12.3346176147461,33.0581121444702
Åfjord,197,197,2006-04-03,2012-10-15,6,0.030456852791878174,840,80,11.9710655212402,33.3276863098145
Hvaler,199,199,2011-05-05,2019-09-30,4,0.020100502512562814,0,1240,14.9247541427612,25.6803961667148
Larvik,262,262,2007-03-04,2019-09-02,4,0.015267175572519083,0,800,14.9039673890386,27.281162619590802
Egersund,404,404,2006-05-01,2019-09-23,4,0.009900990099009901,40,440,12.97255856990815,31.777560520172102
Flekkerøy,181,181,2013-06-09,2019-09-23,3,0.016574585635359115,40,520,15.3364042554583,29.8544211728232
Nærøy,223,223,2007-04-16,2019-10-14,3,0.013452914798206279,280,640,11.6604995727539,33.1614074707031
Gildeskål,20,20,2015-04-20,2015-08-31,2,0.1,480,0,10.8220631182194,33.6589540243149
"Festvåg,Mistfjorden",87,87,2016-04-25,2019-09-23,2,0.022988505747126436,2200,40,12.1643857955933,33.4577592213949
Trettøya,200,200,2010-03-01,2019-10-28,2,0.01,640,560,12.226240581936299,32.4918041229248
Kragerø,202,202,2006-05-02,2019-08-26,2,0.009900990099009901,80,320,16.83735831578575,28.307148138682052
Grimstad,35,35,2017-02-20,2017-10-30,1,0.02857142857142857,0,400,13.5972865711559,30.1367892352017
Askvoll,57,57,2008-03-10,2009-10-19,1,0.017543859649122806,280,200,12.2698499679565,33.1518913269043
"Engelsvik,Fredrikstad",170,170,2013-06-24,2019-09-30,1,0.0058823529411764705,0,1600,15.87093524932865,25.572779273986853
Lofoten,236,236,2010-03-22,2019-09-30,1,0.00423728813559322,560,80,10.7613200187683,33.74130390167235
Kvitsøy,361,361,2009-03-02,2019-10-28,1,0.002770083102493075,40,440,12.308109514641,32.220692432288
Frøya,143,143,2006-04-18,2011-10-17,0,0.0,40,80,12.251781578064,33.5070797729492
Gjøvika,30,30,2015-03-16,2015-10-12,0,0.0,0,0,12.054206848144549,33.14021110534665
"Måløyvær,Steigen",23,23,2017-04-24,2017-09-25,0,0.0,80,0,12.1748640625565,33.3629786173503
Namdal,60,60,2010-03-15,2015-10-12,0,0.0,200,0,12.1798963546753,33.33769989013675
Namsos,235,235,2007-03-19,2017-10-09,0,0.0,120,40,12.0949001312256,33.2456855773926
Oldøya,31,31,2016-03-07,2016-10-17,0,0.0,40,40,11.6923224131266,33.1884155273437
OldøyaN,31,31,2016-03-07,2016-10-17,0,0.0,0,40,11.6923224131266,33.1884155273437
RånesMindebukta,30,30,2016-03-14,2016-10-17,0,0.0,0,0,12.14825224876405,33.235715389251695
Skråfjorden,26,26,2017-03-20,2017-09-25,0,0.0,80,80,12.36598694324495,33.259253025054946
Tønsberg,312,312,2006-04-03,2019-09-09,0,0.0,0,200,15.00461444854735,25.94049854278565
Øygardenblåskjell,78,78,2017-03-27,2019-09-30,0,0.0,120,0,12.34178174336755,32.7179815928141
Øygardenkamskjell,78,78,2017-03-27,2019-09-30,0,0.0,120,0,12.34178174336755,32.7179815928141
