sample_id,site,origin_date,label_date,y,latitude,longitude,source,last_observed_event,target_value
china_hk_7d:CN_HongKong:1976-06-27,CN_HongKong,1976-06-27,1976-07-04,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-07-04,CN_HongKong,1976-07-04,1976-07-11,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-07-11,CN_HongKong,1976-07-11,1976-07-18,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-07-18,CN_HongKong,1976-07-18,1976-07-25,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-07-25,CN_HongKong,1976-07-25,1976-08-01,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-08-01,CN_HongKong,1976-08-01,1976-08-08,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-08-08,CN_HongKong,1976-08-08,1976-08-15,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-08-15,CN_HongKong,1976-08-15,1976-08-22,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-08-22,CN_HongKong,1976-08-22,1976-08-29,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-08-29,CN_HongKong,1976-08-29,1976-09-05,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-09-05,CN_HongKong,1976-09-05,1976-09-12,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-09-12,CN_HongKong,1976-09-12,1976-09-19,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-09-19,CN_HongKong,1976-09-19,1976-09-26,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-09-26,CN_HongKong,1976-09-26,1976-10-03,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-10-03,CN_HongKong,1976-10-03,1976-10-10,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-10-10,CN_HongKong,1976-10-10,1976-10-17,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-10-17,CN_HongKong,1976-10-17,1976-10-24,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-10-24,CN_HongKong,1976-10-24,1976-10-31,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-10-31,CN_HongKong,1976-10-31,1976-11-07,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-11-07,CN_HongKong,1976-11-07,1976-11-14,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-11-14,CN_HongKong,1976-11-14,1976-11-21,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-11-21,CN_HongKong,1976-11-21,1976-11-28,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-11-28,CN_HongKong,1976-11-28,1976-12-05,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-12-05,CN_HongKong,1976-12-05,1976-12-12,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-12-12,CN_HongKong,1976-12-12,1976-12-19,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-12-19,CN_HongKong,1976-12-19,1976-12-26,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1976-12-26,CN_HongKong,1976-12-26,1977-01-02,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-01-02,CN_HongKong,1977-01-02,1977-01-09,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-01-09,CN_HongKong,1977-01-09,1977-01-16,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-01-16,CN_HongKong,1977-01-16,1977-01-23,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-01-23,CN_HongKong,1977-01-23,1977-01-30,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-01-30,CN_HongKong,1977-01-30,1977-02-06,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-02-06,CN_HongKong,1977-02-06,1977-02-13,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-02-13,CN_HongKong,1977-02-13,1977-02-20,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-02-20,CN_HongKong,1977-02-20,1977-02-27,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-02-27,CN_HongKong,1977-02-27,1977-03-06,1,22.35,114.2,AFCD_HongKong,0,1.0
china_hk_7d:CN_HongKong:1977-03-06,CN_HongKong,1977-03-06,1977-03-13,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:1977-03-13,CN_HongKong,1977-03-13,1977-03-20,1,22.35,114.2,AFCD_HongKong,0,2.0
china_hk_7d:CN_HongKong:1977-03-20,CN_HongKong,1977-03-20,1977-03-27,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:1977-03-27,CN_HongKong,1977-03-27,1977-04-03,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-04-03,CN_HongKong,1977-04-03,1977-04-10,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-04-10,CN_HongKong,1977-04-10,1977-04-17,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-04-17,CN_HongKong,1977-04-17,1977-04-24,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-04-24,CN_HongKong,1977-04-24,1977-05-01,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-05-01,CN_HongKong,1977-05-01,1977-05-08,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-05-08,CN_HongKong,1977-05-08,1977-05-15,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-05-15,CN_HongKong,1977-05-15,1977-05-22,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-05-22,CN_HongKong,1977-05-22,1977-05-29,1,22.35,114.2,AFCD_HongKong,0,1.0
china_hk_7d:CN_HongKong:1977-05-29,CN_HongKong,1977-05-29,1977-06-05,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:1977-06-05,CN_HongKong,1977-06-05,1977-06-12,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-06-12,CN_HongKong,1977-06-12,1977-06-19,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-06-19,CN_HongKong,1977-06-19,1977-06-26,0,22.35,114.2,AFCD_HongKong,0,0.0
