sample_id,site,origin_date,label_date,y,latitude,longitude,source,last_observed_event,target_value
china_hk_7d:CN_HongKong:2017-01-01,CN_HongKong,2017-01-01,2017-01-08,1,22.35,114.2,AFCD_HongKong,1,3.0
china_hk_7d:CN_HongKong:2017-01-08,CN_HongKong,2017-01-08,2017-01-15,1,22.35,114.2,AFCD_HongKong,1,7.0
china_hk_7d:CN_HongKong:2017-01-15,CN_HongKong,2017-01-15,2017-01-22,1,22.35,114.2,AFCD_HongKong,1,1.0
china_hk_7d:CN_HongKong:2017-01-22,CN_HongKong,2017-01-22,2017-01-29,1,22.35,114.2,AFCD_HongKong,1,1.0
china_hk_7d:CN_HongKong:2017-01-29,CN_HongKong,2017-01-29,2017-02-05,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2017-02-05,CN_HongKong,2017-02-05,2017-02-12,1,22.35,114.2,AFCD_HongKong,0,2.0
china_hk_7d:CN_HongKong:2017-02-12,CN_HongKong,2017-02-12,2017-02-19,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2017-02-19,CN_HongKong,2017-02-19,2017-02-26,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-02-26,CN_HongKong,2017-02-26,2017-03-05,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-03-05,CN_HongKong,2017-03-05,2017-03-12,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-03-12,CN_HongKong,2017-03-12,2017-03-19,1,22.35,114.2,AFCD_HongKong,0,3.0
china_hk_7d:CN_HongKong:2017-03-19,CN_HongKong,2017-03-19,2017-03-26,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2017-03-26,CN_HongKong,2017-03-26,2017-04-02,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-04-02,CN_HongKong,2017-04-02,2017-04-09,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-04-09,CN_HongKong,2017-04-09,2017-04-16,1,22.35,114.2,AFCD_HongKong,0,4.0
china_hk_7d:CN_HongKong:2017-04-16,CN_HongKong,2017-04-16,2017-04-23,1,22.35,114.2,AFCD_HongKong,1,11.0
china_hk_7d:CN_HongKong:2017-04-23,CN_HongKong,2017-04-23,2017-04-30,1,22.35,114.2,AFCD_HongKong,1,5.0
china_hk_7d:CN_HongKong:2017-04-30,CN_HongKong,2017-04-30,2017-05-07,1,22.35,114.2,AFCD_HongKong,1,2.0
china_hk_7d:CN_HongKong:2017-05-07,CN_HongKong,2017-05-07,2017-05-14,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2017-05-14,CN_HongKong,2017-05-14,2017-05-21,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-05-21,CN_HongKong,2017-05-21,2017-05-28,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-05-28,CN_HongKong,2017-05-28,2017-06-04,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-06-04,CN_HongKong,2017-06-04,2017-06-11,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-06-11,CN_HongKong,2017-06-11,2017-06-18,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-06-18,CN_HongKong,2017-06-18,2017-06-25,1,22.35,114.2,AFCD_HongKong,0,1.0
china_hk_7d:CN_HongKong:2017-06-25,CN_HongKong,2017-06-25,2017-07-02,1,22.35,114.2,AFCD_HongKong,1,1.0
china_hk_7d:CN_HongKong:2017-07-02,CN_HongKong,2017-07-02,2017-07-09,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2017-07-09,CN_HongKong,2017-07-09,2017-07-16,1,22.35,114.2,AFCD_HongKong,0,3.0
china_hk_7d:CN_HongKong:2017-07-16,CN_HongKong,2017-07-16,2017-07-23,1,22.35,114.2,AFCD_HongKong,1,3.0
china_hk_7d:CN_HongKong:2017-07-23,CN_HongKong,2017-07-23,2017-07-30,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2017-07-30,CN_HongKong,2017-07-30,2017-08-06,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-08-06,CN_HongKong,2017-08-06,2017-08-13,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2017-08-13,CN_HongKong,2017-08-13,2017-08-20,0,22.35,114.2,AFCD_HongKong,0,0.0
