model,reference,seed,split,delta_ap_low,delta_ap_high,valid_replicates
EcoTemporalNet,Logistic,17,test,-0.04004989650416966,0.057391041931248596,500
EcoTemporalNet,RandomForest,17,test,-0.020603442566940248,0.09986280384848176,500
EcoTemporalNet,HistGradientBoosting,17,test,-0.011412113698025207,0.13297068156736458,500
EcoFusion,Logistic,17,test,-0.04004989650416966,0.057391041931248596,500
EcoFusion,RandomForest,17,test,-0.020603442566940248,0.09986280384848176,500
EcoFusion,HistGradientBoosting,17,test,-0.011412113698025207,0.13297068156736458,500
Chronos,Logistic,17,test,-0.2007274790279198,-0.039954569799438226,500
Chronos,RandomForest,17,test,-0.1594036004402308,-0.007197764811409956,500
Chronos,HistGradientBoosting,17,test,-0.152457485855727,0.013855365350146056,500
Chronos+EcoFusion,Logistic,17,test,-0.04004989650416966,0.057391041931248596,500
Chronos+EcoFusion,RandomForest,17,test,-0.020603442566940248,0.09986280384848176,500
Chronos+EcoFusion,HistGradientBoosting,17,test,-0.011412113698025207,0.13297068156736458,500
EcoTemporalNet,Logistic,42,test,-0.013763864311669437,0.06876585734511656,500
EcoTemporalNet,RandomForest,42,test,-0.0014486300922106673,0.1210638961157144,500
EcoTemporalNet,HistGradientBoosting,42,test,0.005966195692231101,0.1466211564649102,500
EcoFusion,Logistic,42,test,-0.013763864311669437,0.06876585734511656,500
EcoFusion,RandomForest,42,test,-0.0014486300922106673,0.1210638961157144,500
EcoFusion,HistGradientBoosting,42,test,0.005966195692231101,0.1466211564649102,500
Chronos,Logistic,42,test,-0.19456696889116515,-0.039292538492633214,500
Chronos,RandomForest,42,test,-0.1548406194169662,-0.0016530665514723176,500
Chronos,HistGradientBoosting,42,test,-0.14643951942083924,0.01922294666478158,500
Chronos+EcoFusion,Logistic,42,test,-0.013763864311669437,0.06876585734511656,500
Chronos+EcoFusion,RandomForest,42,test,-0.0014486300922106673,0.1210638961157144,500
Chronos+EcoFusion,HistGradientBoosting,42,test,0.005966195692231101,0.1466211564649102,500
EcoTemporalNet,Logistic,73,test,-0.03329934859195698,0.06008143101121618,500
EcoTemporalNet,RandomForest,73,test,-0.017947590088516128,0.10559768141607402,500
EcoTemporalNet,HistGradientBoosting,73,test,-0.005173038335563878,0.14880936124656846,500
EcoFusion,Logistic,73,test,-0.03329934859195698,0.06008143101121618,500
EcoFusion,RandomForest,73,test,-0.017947590088516128,0.10559768141607402,500
EcoFusion,HistGradientBoosting,73,test,-0.005173038335563878,0.14880936124656846,500
Chronos,Logistic,73,test,-0.18971307995451056,-0.04777275823774744,500
Chronos,RandomForest,73,test,-0.1624339397477536,-0.013417940784759927,500
Chronos,HistGradientBoosting,73,test,-0.1455295787263197,0.02471857112288116,500
Chronos+EcoFusion,Logistic,73,test,-0.03329934859195698,0.06008143101121618,500
Chronos+EcoFusion,RandomForest,73,test,-0.017947590088516128,0.10559768141607402,500
Chronos+EcoFusion,HistGradientBoosting,73,test,-0.005173038335563878,0.14880936124656846,500
