partition,feature,missing_fraction,observed_count,median
train,log_reports,0.0,1905,0.0
train,season_sin,0.0,1905,-0.02150137349963188
train,season_cos,0.0,1905,0.0010751512600108981
validation,log_reports,0.0,207,0.0
validation,season_sin,0.0,207,0.02795029804110527
validation,season_cos,0.0,207,-0.03332352638244629
calibration,log_reports,0.0,156,0.0
calibration,season_sin,0.0,156,0.0032253575045615435
calibration,season_cos,0.0,156,-0.005375619512051344
test,log_reports,0.0,312,0.0
test,season_sin,0.0,312,0.0032253575045615435
test,season_cos,0.0,312,-0.005375619512051344
