model,seed,reference,delta_ap_low,delta_ap_high,valid_replicates
EcoTemporalNet,17,HistGradientBoosting,-0.014158585457363823,0.12849183528370275,200
EcoFusion,17,HistGradientBoosting,-0.014158585457363823,0.12849183528370275,200
Chronos,17,HistGradientBoosting,-0.15214488405988352,0.008820118414072639,200
Chronos+EcoFusion,17,HistGradientBoosting,-0.014158585457363823,0.12849183528370275,200
EcoTemporalNet,42,HistGradientBoosting,0.013196942179281013,0.12961054775849729,200
EcoFusion,42,HistGradientBoosting,0.013196942179281013,0.12961054775849729,200
Chronos,42,HistGradientBoosting,-0.14689075748538571,0.01359850935390608,200
Chronos+EcoFusion,42,HistGradientBoosting,0.013196942179281013,0.12961054775849729,200
EcoTemporalNet,73,HistGradientBoosting,-0.004185850867865789,0.13840502280849218,200
EcoFusion,73,HistGradientBoosting,-0.004185850867865789,0.13840502280849218,200
Chronos,73,HistGradientBoosting,-0.1387984805819463,0.014845569995787886,200
Chronos+EcoFusion,73,HistGradientBoosting,-0.004185850867865789,0.13840502280849218,200
