model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
Seasonal,17,test,2020,52,10,0.19230769230769232,0.2505207712184456,0.18286079991533796,0.13261048806728432,0.6000000000000001,0.0,0.0
Seasonal,17,test,2021,52,20,0.38461538461538464,0.7768358636347692,0.18673449232841025,0.21947656871419535,0.7679687500000001,0.3,1.0
Seasonal,17,test,2022,52,9,0.17307692307692307,0.4687257187257188,0.14311660532826725,0.13143372128634795,0.6072351421188631,0.5555555555555556,0.8333333333333334
Seasonal,17,test,2023,53,16,0.3018867924528302,0.5058695127785029,0.19188972380910133,0.12897735707738847,0.6807432432432432,0.1875,0.5
Seasonal,17,test,2024,52,18,0.34615384615384615,0.6546416189385755,0.1840061223236143,0.08634786708340825,0.7508169934640523,0.2777777777777778,0.8333333333333334
Seasonal,17,test,2025,51,18,0.35294117647058826,0.6805915874903827,0.18125088015239452,0.09225892891959721,0.7744107744107744,0.2777777777777778,0.8333333333333334
Persistence,17,test,2020,52,10,0.19230769230769232,0.2246153846153846,0.16311629616270057,0.04644088289493099,0.5666666666666668,0.3,0.5
Persistence,17,test,2021,52,20,0.38461538461538464,0.716923076923077,0.15717411377734347,0.12892990605397994,0.8375,0.25,0.8333333333333334
Persistence,17,test,2022,52,9,0.17307692307692307,0.38556505223171894,0.11727935629923467,0.06602215771868117,0.7312661498708011,0.4444444444444444,0.6666666666666666
Persistence,17,test,2023,53,16,0.3018867924528302,0.3293042452830188,0.22333760882545015,0.11918443173013746,0.5523648648648648,0.25,0.6666666666666666
Persistence,17,test,2024,52,18,0.34615384615384615,0.46248812915479587,0.20620071314738625,0.05112507931243306,0.6601307189542484,0.16666666666666666,0.5
Persistence,17,test,2025,51,18,0.35294117647058826,0.4655047204066812,0.20968782518064707,0.055429459998052086,0.6565656565656566,0.16666666666666666,0.5
Logistic,17,test,2020,52,10,0.19230769230769232,0.3574631416988073,0.15239215230333658,0.06082281799418425,0.5595238095238095,0.3,0.5
Logistic,17,test,2021,52,20,0.38461538461538464,0.8578692530236649,0.1456988223081723,0.21422669217093646,0.8453125,0.3,1.0
Logistic,17,test,2022,52,9,0.17307692307692307,0.4220741315850012,0.13686456958194387,0.13879422413216666,0.6899224806201549,0.3333333333333333,0.5
Logistic,17,test,2023,53,16,0.3018867924528302,0.5488182706932707,0.18608319863053535,0.07435240138853762,0.7162162162162162,0.25,0.6666666666666666
Logistic,17,test,2024,52,18,0.34615384615384615,0.5848822546942128,0.20661629022998707,0.11238179748691202,0.7026143790849674,0.2222222222222222,0.6666666666666666
Logistic,17,test,2025,51,18,0.35294117647058826,0.6721888327328559,0.1971901031357769,0.07127109347072631,0.7070707070707071,0.2777777777777778,0.8333333333333334
RandomForest,17,test,2020,52,10,0.19230769230769232,0.3485030075793643,0.150880758400776,0.0690698312489658,0.6285714285714286,0.1,0.16666666666666666
RandomForest,17,test,2021,52,20,0.38461538461538464,0.8274821035000017,0.1752634885813766,0.2076346880908724,0.8359375,0.25,0.8333333333333334
RandomForest,17,test,2022,52,9,0.17307692307692307,0.3401745402153229,0.14713838483540717,0.10223794641984707,0.648578811369509,0.3333333333333333,0.5
RandomForest,17,test,2023,53,16,0.3018867924528302,0.49692142103006465,0.1974981305946477,0.14965586718437154,0.6233108108108109,0.1875,0.5
RandomForest,17,test,2024,52,18,0.34615384615384615,0.6472104686778601,0.20745234912288024,0.08908018629117599,0.7075163398692811,0.2777777777777778,0.8333333333333334
RandomForest,17,test,2025,51,18,0.35294117647058826,0.6744273767152207,0.19048995567696653,0.17413404923891257,0.744107744107744,0.2777777777777778,0.8333333333333334
HistGradientBoosting,17,test,2020,52,10,0.19230769230769232,0.27538652212977494,0.15509502048214405,0.037195330935088346,0.6071428571428572,0.1,0.16666666666666666
HistGradientBoosting,17,test,2021,52,20,0.38461538461538464,0.6531174452115192,0.18419999200158804,0.08633464991651517,0.7671875,0.15,0.5
HistGradientBoosting,17,test,2022,52,9,0.17307692307692307,0.4617702726980585,0.14421927826005687,0.15778385915304874,0.6304909560723515,0.4444444444444444,0.6666666666666666
HistGradientBoosting,17,test,2023,53,16,0.3018867924528302,0.4840806135444768,0.2051336427753218,0.08004734952674984,0.5760135135135135,0.25,0.6666666666666666
HistGradientBoosting,17,test,2024,52,18,0.34615384615384615,0.5670626326769922,0.2051822310303616,0.06777649640352504,0.6748366013071896,0.2222222222222222,0.6666666666666666
HistGradientBoosting,17,test,2025,51,18,0.35294117647058826,0.7067458954083045,0.18646896662173273,0.07852973654037072,0.7575757575757575,0.2777777777777778,0.8333333333333334
EcoTemporalNet,17,test,2020,52,10,0.19230769230769232,0.3404453491066067,0.14541238360364303,0.128625944627118,0.638095238095238,0.3,0.5
EcoTemporalNet,17,test,2021,52,20,0.38461538461538464,0.81055145979303,0.1350351253573974,0.1689259068825344,0.871875,0.25,0.8333333333333334
EcoTemporalNet,17,test,2022,52,9,0.17307692307692307,0.5133835455723281,0.12794040351822775,0.10046609311270763,0.7260981912144703,0.3333333333333333,0.5
EcoTemporalNet,17,test,2023,53,16,0.3018867924528302,0.553701489527097,0.18423290964901762,0.1489424159847561,0.6739864864864864,0.25,0.6666666666666666
EcoTemporalNet,17,test,2024,52,18,0.34615384615384615,0.6644703274331633,0.1923082264531164,0.15697205937259567,0.7777777777777778,0.2777777777777778,0.8333333333333334
EcoTemporalNet,17,test,2025,51,18,0.35294117647058826,0.5879650507470799,0.2024276843440793,0.1267754451486778,0.7171717171717171,0.2222222222222222,0.6666666666666666
EcoFusion,17,test,2020,52,10,0.19230769230769232,0.3404453491066067,0.1454123831377472,0.12862594208674985,0.638095238095238,0.3,0.5
EcoFusion,17,test,2021,52,20,0.38461538461538464,0.81055145979303,0.13503512614384125,0.16892590593668605,0.871875,0.25,0.8333333333333334
EcoFusion,17,test,2022,52,9,0.17307692307692307,0.5133835455723281,0.12794040211858618,0.10046609323580052,0.7260981912144703,0.3333333333333333,0.5
EcoFusion,17,test,2023,53,16,0.3018867924528302,0.553701489527097,0.18423291009691478,0.14894241550386153,0.6739864864864864,0.25,0.6666666666666666
EcoFusion,17,test,2024,52,18,0.34615384615384615,0.6644703274331633,0.19230822537197223,0.15697205911150214,0.7777777777777778,0.2777777777777778,0.8333333333333334
EcoFusion,17,test,2025,51,18,0.35294117647058826,0.5879650507470799,0.20242768318326612,0.1267754443749407,0.7171717171717171,0.2222222222222222,0.6666666666666666
Chronos,17,test,2020,52,10,0.19230769230769232,0.33562271062271065,0.1482384341228527,0.030373891449089696,0.5452380952380952,0.2,0.3333333333333333
Chronos,17,test,2021,52,20,0.38461538461538464,0.6195406694913275,0.19072954316663251,0.1253568495722084,0.77109375,0.2,0.6666666666666666
Chronos,17,test,2022,52,9,0.17307692307692307,0.3929789346456013,0.12794456910055277,0.12505530958988145,0.7364341085271318,0.3333333333333333,0.5
Chronos,17,test,2023,53,16,0.3018867924528302,0.4666953791775889,0.20294012807140957,0.05161133626173029,0.6241554054054054,0.1875,0.5
Chronos,17,test,2024,52,18,0.34615384615384615,0.4472606258903945,0.23143698223784107,0.09035056843824406,0.5294117647058824,0.16666666666666666,0.5
Chronos,17,test,2025,51,18,0.35294117647058826,0.44379052836510546,0.24109904259248968,0.14878318239467186,0.44612794612794604,0.16666666666666666,0.5
Chronos+EcoFusion,17,test,2020,52,10,0.19230769230769232,0.3404453491066067,0.1454123831377472,0.12862594208674985,0.638095238095238,0.3,0.5
Chronos+EcoFusion,17,test,2021,52,20,0.38461538461538464,0.81055145979303,0.13503512614384125,0.16892590593668605,0.871875,0.25,0.8333333333333334
Chronos+EcoFusion,17,test,2022,52,9,0.17307692307692307,0.5133835455723281,0.12794040211858618,0.10046609323580052,0.7260981912144703,0.3333333333333333,0.5
Chronos+EcoFusion,17,test,2023,53,16,0.3018867924528302,0.553701489527097,0.18423291009691478,0.14894241550386153,0.6739864864864864,0.25,0.6666666666666666
Chronos+EcoFusion,17,test,2024,52,18,0.34615384615384615,0.6644703274331633,0.19230822537197223,0.15697205911150214,0.7777777777777778,0.2777777777777778,0.8333333333333334
Chronos+EcoFusion,17,test,2025,51,18,0.35294117647058826,0.5879650507470799,0.20242768318326612,0.1267754443749407,0.7171717171717171,0.2222222222222222,0.6666666666666666
EcoTemporalNet,17,missing20,0,312,91,0.2916666666666667,0.5911667132369648,0.1677007264628046,0.035119576558602136,0.7457113022723882,0.25274725274725274,0.71875
EcoTemporalNet,17,noise01,0,312,91,0.2916666666666667,0.5872891283169954,0.1660053730216986,0.06382463603837363,0.754114663616926,0.27472527472527475,0.78125
Seasonal,42,test,2020,52,10,0.19230769230769232,0.2505207712184456,0.18286079991533796,0.13261048806728432,0.6000000000000001,0.0,0.0
Seasonal,42,test,2021,52,20,0.38461538461538464,0.7768358636347692,0.18673449232841025,0.21947656871419535,0.7679687500000001,0.3,1.0
