model,seed,threshold,operator,calibration_alert_fraction,selected_on
Logistic,17,0.567897841659342,>,0.09615384615384616,calibration
RandomForest,17,0.4688426116561138,>,0.09615384615384616,calibration
HistGradientBoosting,17,0.4846375031097157,>,0.09615384615384616,calibration
EcoTemporalNet,17,0.6065052239772994,>,0.09615384615384616,calibration
EcoFusion,17,0.6065052164231054,>,0.09615384615384616,calibration
Logistic,42,0.567897841659342,>,0.09615384615384616,calibration
RandomForest,42,0.4778731029351616,>,0.09615384615384616,calibration
HistGradientBoosting,42,0.4846375031097157,>,0.09615384615384616,calibration
EcoTemporalNet,42,0.6031695344606469,>,0.09615384615384616,calibration
EcoFusion,42,0.603169540133906,>,0.09615384615384616,calibration
Logistic,73,0.567897841659342,>,0.09615384615384616,calibration
RandomForest,73,0.4825043376304041,>,0.09615384615384616,calibration
HistGradientBoosting,73,0.4846375031097157,>,0.09615384615384616,calibration
EcoTemporalNet,73,0.6178559046900819,>,0.09615384615384616,calibration
EcoFusion,73,0.6178558978792205,>,0.09615384615384616,calibration
