model,seed,split,threshold,n,alerts,TP,FP,FN,TN,precision,recall,false_positive_rate,alert_fraction
Logistic,17,test,0.567897841659342,312,28,24,4,67,217,0.8571428571428571,0.26373626373626374,0.01809954751131222,0.08974358974358974
RandomForest,17,test,0.4688426116561138,312,32,25,7,66,214,0.78125,0.27472527472527475,0.03167420814479638,0.10256410256410256
HistGradientBoosting,17,test,0.4846375031097157,312,39,26,13,65,208,0.6666666666666666,0.2857142857142857,0.058823529411764705,0.125
EcoTemporalNet,17,test,0.6065052239772994,312,33,26,7,65,214,0.7878787878787878,0.2857142857142857,0.03167420814479638,0.10576923076923077
EcoFusion,17,test,0.6065052164231054,312,33,26,7,65,214,0.7878787878787878,0.2857142857142857,0.03167420814479638,0.10576923076923077
Logistic,42,test,0.567897841659342,312,28,24,4,67,217,0.8571428571428571,0.26373626373626374,0.01809954751131222,0.08974358974358974
RandomForest,42,test,0.4778731029351616,312,29,21,8,70,213,0.7241379310344828,0.23076923076923078,0.03619909502262444,0.09294871794871795
HistGradientBoosting,42,test,0.4846375031097157,312,39,26,13,65,208,0.6666666666666666,0.2857142857142857,0.058823529411764705,0.125
EcoTemporalNet,42,test,0.6031695344606469,312,30,24,6,67,215,0.8,0.26373626373626374,0.027149321266968326,0.09615384615384616
EcoFusion,42,test,0.603169540133906,312,30,24,6,67,215,0.8,0.26373626373626374,0.027149321266968326,0.09615384615384616
Logistic,73,test,0.567897841659342,312,28,24,4,67,217,0.8571428571428571,0.26373626373626374,0.01809954751131222,0.08974358974358974
RandomForest,73,test,0.4825043376304041,312,28,21,7,70,214,0.75,0.23076923076923078,0.03167420814479638,0.08974358974358974
HistGradientBoosting,73,test,0.4846375031097157,312,39,26,13,65,208,0.6666666666666666,0.2857142857142857,0.058823529411764705,0.125
EcoTemporalNet,73,test,0.6178559046900819,312,32,27,5,64,216,0.84375,0.2967032967032967,0.02262443438914027,0.10256410256410256
EcoFusion,73,test,0.6178558978792205,312,32,27,5,64,216,0.84375,0.2967032967032967,0.02262443438914027,0.10256410256410256
