model,seed,reference,delta_ap_low,delta_ap_high,valid_replicates
LLM,17,Logistic,-0.18896689803123995,0.021578155006233037,200
LLM,17,RandomForest,-0.16630698589626888,0.05234148958348974,200
LLM,17,HistGradientBoosting,-0.14830103167073747,0.0699966197963956,200
LLM,17,EcoTemporalNet,-0.18583180834351762,0.004725289964908598,200
LLM+EcoFusion,17,Logistic,-0.044064898667595186,0.05456377053811873,200
LLM+EcoFusion,17,RandomForest,-0.01879004106378812,0.09954940121367817,200
LLM+EcoFusion,17,HistGradientBoosting,-0.014158585457363823,0.12849183528370275,200
LLM+EcoFusion,17,EcoTemporalNet,0.0,0.0,200
LLM,42,Logistic,-0.21779641794324192,0.01582291361583558,200
LLM,42,RandomForest,-0.18483173864020547,0.04004492201660636,200
LLM,42,HistGradientBoosting,-0.20120113929311118,0.06999200206870027,200
LLM,42,EcoTemporalNet,-0.23498316904019947,-0.02580175573887132,200
LLM+EcoFusion,42,Logistic,-0.010493320399866838,0.06379588796011701,200
LLM+EcoFusion,42,RandomForest,0.006849691408824721,0.11194516983392792,200
LLM+EcoFusion,42,HistGradientBoosting,0.013196942179281013,0.12961054775849729,200
LLM+EcoFusion,42,EcoTemporalNet,0.0,0.0,200
LLM,73,Logistic,-0.18905452463170316,0.02260830872215491,200
LLM,73,RandomForest,-0.15575167393389508,0.04354681265627453,200
LLM,73,HistGradientBoosting,-0.1423760676756007,0.0693616496661095,200
LLM,73,EcoTemporalNet,-0.19168780937031138,-0.024679782004036904,200
LLM+EcoFusion,73,Logistic,-0.026767072100786295,0.057126959163879595,200
LLM+EcoFusion,73,RandomForest,-0.008555725718265477,0.10462951124084423,200
LLM+EcoFusion,73,HistGradientBoosting,-0.004185850867865789,0.13840502280849218,200
LLM+EcoFusion,73,EcoTemporalNet,0.0,0.0,200
