model,seed,split,seconds,parameters,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision,empirical_coverage,ambiguous_fraction,empty_fraction,nominal_coverage,threshold
Seasonal,17,test,0.0,12.0,7192,183,0.025444938820912123,0.03729701658623876,0.02525081463361991,0.019123400950622357,0.573151849261722,0.15300546448087432,0.03888888888888889,0.9745550611790879,0.0,0.0,0.9,0.14019060153390897
Seasonal,17,spatial_test,0.0,12.0,1682,39,0.02318668252080856,0.08209463962505797,0.021759229827029387,0.007760768916640713,0.6924403452096696,0.4358974358974359,0.10059171597633136,0.9768133174791914,0.0,0.0,0.9,0.14019060153390897
Persistence,17,test,0.0,1.0,7192,183,0.025444938820912123,0.11187159975793119,0.025132774205112927,0.008764573515973656,0.6580563475375532,0.4644808743169399,0.11805555555555555,0.9524471635150167,0.0,0.030728587319243605,0.9,0.017543233445199105
Persistence,17,spatial_test,0.0,1.0,1682,39,0.02318668252080856,0.14050428366718498,0.021100320651905393,0.007254778932311577,0.6715748240398272,0.38461538461538464,0.08875739644970414,0.9613555291319857,0.0,0.023781212841854936,0.9,0.017543233445199105
Logistic,17,test,1.5579899739998382,73.0,7192,183,0.025444938820912123,0.20128764077005112,0.022246067800839205,0.003438315871372852,0.8983555101286637,0.639344262295082,0.1625,0.8708286985539488,0.0,0.12305339265850945,0.9,0.04616349288238656
Logistic,17,spatial_test,1.5579899739998382,73.0,1682,39,0.02318668252080856,0.37992310161293286,0.017151278665760317,0.011467927623978233,0.8961873995349345,0.7692307692307693,0.17751479289940827,0.8870392390011891,0.0,0.10820451843043995,0.9,0.04616349288238656
RandomForest,17,test,3.6271630830001413,,7192,183,0.025444938820912123,0.19780577246711437,0.023341735074779425,0.00998462995385489,0.8967751844427968,0.6775956284153005,0.17222222222222222,0.8762513904338154,0.0,0.11651835372636263,0.9,0.07238674854384611
RandomForest,17,spatial_test,3.6271630830001413,,1682,39,0.02318668252080856,0.38162011377185145,0.020528198009084935,0.029495085988051742,0.895531938136929,0.7948717948717948,0.1834319526627219,0.8305588585017836,0.0,0.16587395957193818,0.9,0.07238674854384611
HistGradientBoosting,17,test,1.5975870249999389,,7192,183,0.025444938820912123,0.21576254712120901,0.024465594028555398,0.014104793367068675,0.9084385649364166,0.639344262295082,0.1625,0.8840378197997776,0.0,0.10775862068965517,0.9,0.07167215502124717
HistGradientBoosting,17,spatial_test,1.5975870249999389,,1682,39,0.02318668252080856,0.4234676642407396,0.018980431840065305,0.017274207628514848,0.9129953025266476,0.7692307692307693,0.17751479289940827,0.8852556480380499,0.0,0.10939357907253269,0.9,0.07167215502124717
EcoTemporalNet,17,test,10.220070955999972,1004.0,7192,183,0.025444938820912123,0.20776671678735617,0.022969455089575395,0.010731312884252234,0.8788481943979911,0.6666666666666666,0.16944444444444445,0.8655450500556173,0.0,0.128615127919911,0.9,0.03914691058049727
EcoTemporalNet,17,spatial_test,10.220070955999972,1004.0,1682,39,0.02318668252080856,0.3686923290961763,0.01728988183772998,0.011761053121442789,0.8766171949373409,0.7948717948717948,0.1834319526627219,0.880499405469679,0.0,0.11533888228299644,0.9,0.03914691058049727
EcoFusion,17,test,11.817657980999911,1004.0,7192,183,0.025444938820912123,0.21507558650623498,0.02343054314957615,0.0125380589416746,0.9013898601875653,0.6612021857923497,0.16805555555555557,0.871384872080089,0.0,0.1218020022246941,0.9,0.051535689998760265
EcoFusion,17,spatial_test,11.817657980999911,1004.0,1682,39,0.02318668252080856,0.43853215773234616,0.017695533979956747,0.013176335215612388,0.8987780326794326,0.7692307692307693,0.17751479289940827,0.8816884661117717,0.0,0.11355529131985731,0.9,0.051535689998760265
Seasonal,42,test,0.0,12.0,7192,183,0.025444938820912123,0.03729701658623876,0.02525081463361991,0.019123400950622357,0.573151849261722,0.15300546448087432,0.03888888888888889,0.9745550611790879,0.0,0.0,0.9,0.14019060153390897
Seasonal,42,spatial_test,0.0,12.0,1682,39,0.02318668252080856,0.08209463962505797,0.021759229827029387,0.007760768916640713,0.6924403452096696,0.4358974358974359,0.10059171597633136,0.9768133174791914,0.0,0.0,0.9,0.14019060153390897
Persistence,42,test,0.0,1.0,7192,183,0.025444938820912123,0.11187159975793119,0.025132774205112927,0.008764573515973656,0.6580563475375532,0.4644808743169399,0.11805555555555555,0.9524471635150167,0.0,0.030728587319243605,0.9,0.017543233445199105
Persistence,42,spatial_test,0.0,1.0,1682,39,0.02318668252080856,0.14050428366718498,0.021100320651905393,0.007254778932311577,0.6715748240398272,0.38461538461538464,0.08875739644970414,0.9613555291319857,0.0,0.023781212841854936,0.9,0.017543233445199105
Logistic,42,test,1.8397567720001007,73.0,7192,183,0.025444938820912123,0.20128764077005112,0.022246067800839205,0.003438315871372852,0.8983555101286637,0.639344262295082,0.1625,0.8708286985539488,0.0,0.12305339265850945,0.9,0.04616349288238656
