model,split,AP_mean,AP_std,Brier_mean,Brier_std,ECE_mean,ECE_std,seconds_mean,seconds_std,top10_recall_mean,top10_recall_std
EcoFusion,spatial_test,0.4346859953278695,0.003441495057371929,0.01762988491229385,0.00017996049453246362,0.01275513306306319,0.0005405941622748514,11.901610024333195,4.31575560197265,0.7692307692307693,0.0
EcoFusion,test,0.21263846737865508,0.0021378363990406904,0.023423339235138386,0.00015496880382662368,0.01228192486513683,0.0005647561951805538,11.901610024333195,4.31575560197265,0.663023679417122,0.008347132413398637
EcoTemporalNet,spatial_test,0.38642681728474876,0.016003674756116665,0.017186510738703916,0.00020440209531818654,0.011205354006464913,0.0009715460965261398,7.5483794210000115,2.37095631699583,0.7863247863247863,0.014803853056144197
EcoTemporalNet,test,0.19943969154075056,0.00727399846221001,0.02298417771055057,0.0001491203784591236,0.010330445363289855,0.0011303665510409553,7.5483794210000115,2.37095631699583,0.6666666666666666,0.0
HistGradientBoosting,spatial_test,0.4234676642407396,0.0,0.018980431840065305,0.0,0.017274207628514848,0.0,4.353230603333183,4.485084376629265,0.7692307692307693,0.0
HistGradientBoosting,test,0.21576254712120901,0.0,0.024465594028555398,0.0,0.014104793367068677,0.0,4.353230603333183,4.485084376629265,0.639344262295082,0.0
Logistic,spatial_test,0.3799231016129328,0.0,0.017151278665760317,0.0,0.011467927623978233,0.0,1.6872680373333726,0.14231016675428826,0.7692307692307693,0.0
Logistic,test,0.20128764077005112,0.0,0.022246067800839205,0.0,0.003438315871372852,0.0,1.6872680373333726,0.14231016675428826,0.639344262295082,0.0
Persistence,spatial_test,0.14050428366718498,0.0,0.021100320651905393,0.0,0.007254778932311576,0.0,0.0,0.0,0.38461538461538464,0.0
Persistence,test,0.11187159975793119,0.0,0.025132774205112927,0.0,0.008764573515973656,0.0,0.0,0.0,0.4644808743169399,0.0
RandomForest,spatial_test,0.3913704899323456,0.009415294248666809,0.02030685568925379,0.00021533400629108578,0.030426631774760033,0.0014624518643184202,3.700934338666684,0.17676182195139878,0.7948717948717948,0.0
RandomForest,test,0.20385451542295874,0.005287520713535811,0.02336277468475589,2.315149733843615e-05,0.010676210541343975,0.0006243094163057474,3.700934338666684,0.17676182195139878,0.6666666666666666,0.014457657437511439
Seasonal,spatial_test,0.08209463962505797,0.0,0.02175922982702939,0.0,0.007760768916640713,0.0,0.0,0.0,0.4358974358974359,0.0
Seasonal,test,0.03729701658623876,0.0,0.025250814633619906,0.0,0.019123400950622357,0.0,0.0,0.0,0.15300546448087432,0.0
