sample_id,site,origin_date,label_date,y,latitude,longitude,source,last_observed_event,target_value
habsos_30d:264:-820:1954-05-10,264:-820,1954-05-10,1954-06-09,0,26.46165,-81.9608,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1954-06-09,264:-820,1954-06-09,1954-07-09,0,26.4583,-81.9533,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1954-06-10,264:-820,1954-06-10,1954-07-12,0,26.41,-81.9617,NOAA_HABSOS,0,0.0
habsos_30d:271:-825:1954-08-11,271:-825,1954-08-11,1954-09-13,0,27.11,-82.4667,NOAA_HABSOS,0,12000.0
habsos_30d:271:-825:1954-08-12,271:-825,1954-08-12,1954-09-13,0,27.11,-82.4667,NOAA_HABSOS,0,12000.0
habsos_30d:264:-820:1954-08-27,264:-820,1954-08-27,1954-09-27,0,26.41,-81.9617,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1954-09-24,264:-820,1954-09-24,1954-10-25,1,26.41,-81.9617,NOAA_HABSOS,0,450000.0
habsos_30d:264:-819:1954-09-27,264:-819,1954-09-27,1954-10-28,1,26.405,-81.8833,NOAA_HABSOS,0,250000.0
habsos_30d:264:-820:1954-09-27,264:-820,1954-09-27,1954-10-28,1,26.465,-81.9683,NOAA_HABSOS,0,250000.0
habsos_30d:271:-825:1954-10-05,271:-825,1954-10-05,1954-11-06,0,27.13276666666667,-82.47056666666667,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1954-10-25,264:-820,1954-10-25,1954-11-24,1,26.41,-81.9617,NOAA_HABSOS,1,170000.0
habsos_30d:264:-820:1954-12-08,264:-820,1954-12-08,1955-01-10,0,26.41,-81.9617,NOAA_HABSOS,0,45000.0
habsos_30d:262:-819:1954-12-09,262:-819,1954-12-09,1955-01-10,1,26.2667,-81.82336666666667,NOAA_HABSOS,0,100000.0
habsos_30d:263:-821:1954-12-09,263:-821,1954-12-09,1955-01-10,1,26.3033,-82.075,NOAA_HABSOS,1,1050000.0
habsos_30d:264:-820:1954-12-28,264:-820,1954-12-28,1955-01-27,0,26.41,-81.9617,NOAA_HABSOS,0,0.0
habsos_30d:264:-823:1954-12-28,264:-823,1954-12-28,1955-01-27,0,26.4667,-82.2333,NOAA_HABSOS,1,0.0
habsos_30d:264:-819:1955-01-01,264:-819,1955-01-01,1955-01-31,0,26.405,-81.8833,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1955-01-02,264:-820,1955-01-02,1955-02-04,0,26.465,-81.9683,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1955-01-04,264:-820,1955-01-04,1955-02-04,0,26.4583,-81.9533,NOAA_HABSOS,0,0.0
