model,reference,seed,split,delta_ap_low,delta_ap_high,valid_replicates
EcoTemporalNet,Logistic,17,spatial_test,-0.09372086304595456,0.03678571149480365,500
EcoTemporalNet,RandomForest,17,spatial_test,-0.058467140898085676,0.13676534634628248,500
EcoTemporalNet,HistGradientBoosting,17,spatial_test,-0.09284151720008975,0.04417426397342136,500
EcoFusion,Logistic,17,spatial_test,-0.05198894948783123,0.03467821054274939,500
EcoFusion,RandomForest,17,spatial_test,-0.040973992153746884,0.17091666213968962,500
EcoFusion,HistGradientBoosting,17,spatial_test,-0.028991576617145996,0.03848544950193286,500
EcoTemporalNet,Logistic,17,test,-0.021670917204845413,0.05111726183690399,500
EcoTemporalNet,RandomForest,17,test,0.005572405101651369,0.11956651391467955,500
EcoTemporalNet,HistGradientBoosting,17,test,-0.010127487427080405,0.09353638987693785,500
EcoFusion,Logistic,17,test,-0.06624925133077933,0.04866560127593052,500
EcoFusion,RandomForest,17,test,0.0014639965160592172,0.0852632016376145,500
EcoFusion,HistGradientBoosting,17,test,-0.008505599993390978,0.046907458355385116,500
EcoTemporalNet,Logistic,42,spatial_test,-0.12202631612115199,0.044818449828943924,500
EcoTemporalNet,RandomForest,42,spatial_test,-0.06502636104299511,0.09462244429758179,500
EcoTemporalNet,HistGradientBoosting,42,spatial_test,-0.1125860700042718,0.028022304737053763,500
EcoFusion,Logistic,42,spatial_test,-0.05734834335484049,0.04969385464234213,500
EcoFusion,RandomForest,42,spatial_test,-0.04423034022420782,0.12766727197104505,500
EcoFusion,HistGradientBoosting,42,spatial_test,-0.031092695099739245,0.024427801278447053,500
EcoTemporalNet,Logistic,42,test,-0.05899738854799666,0.04196204227086048,500
EcoTemporalNet,RandomForest,42,test,-0.00036373882620638603,0.07877860381349258,500
EcoTemporalNet,HistGradientBoosting,42,test,-0.02684637499394977,0.06656089338239823,500
EcoFusion,Logistic,42,test,-0.08234385565246194,0.054298840797091595,500
EcoFusion,RandomForest,42,test,0.008678340778383593,0.055246029695269774,500
EcoFusion,HistGradientBoosting,42,test,-0.00979740162228607,0.03825784436539799,500
EcoTemporalNet,Logistic,73,spatial_test,-0.08344267118524196,0.03563863723550057,499
EcoTemporalNet,RandomForest,73,spatial_test,-0.0688502023443438,0.08099277274343979,499
EcoTemporalNet,HistGradientBoosting,73,spatial_test,-0.07802923855044815,0.049038017277651,499
EcoFusion,Logistic,73,spatial_test,-0.03963663824936087,0.03361695931050367,499
EcoFusion,RandomForest,73,spatial_test,-0.03837394409496286,0.12326249778167232,499
EcoFusion,HistGradientBoosting,73,spatial_test,-0.02943376492630445,0.0344641793430407,499
EcoTemporalNet,Logistic,73,test,-0.03490065678236283,0.07258254397693596,500
EcoTemporalNet,RandomForest,73,test,0.005732853858600938,0.10609249370315449,500
EcoTemporalNet,HistGradientBoosting,73,test,-0.0017271428155729504,0.0862859825331751,500
EcoFusion,Logistic,73,test,-0.07093639816796933,0.06471115498907509,500
EcoFusion,RandomForest,73,test,-0.0016057379207543585,0.07306620627512271,500
EcoFusion,HistGradientBoosting,73,test,-0.0001975223622046674,0.04549460365478434,500
