partition,feature,missing_fraction,observed_count,median
train,log_cells,0.0,21632,0.0
train,temperature,0.41424741124260356,12671,25.0
train,salinity,0.30445636094674555,15046,34.0
train,wind_speed,0.9997688609467456,5,7.5
train,gap_days,0.0,21632,6.0
train,season_sin,0.0,21632,-0.20917350053787231
train,season_cos,0.0,21632,0.10837700963020325
train,latitude,0.0,21632,27.057083129882812
train,longitude,0.0,21632,-82.38565063476562
validation,log_cells,0.0,4465,0.0
validation,temperature,0.2604703247480403,3302,26.84749984741211
validation,salinity,0.348040313549832,2911,31.1200008392334
validation,wind_speed,1.0,0,
validation,gap_days,0.0,4465,5.0
validation,season_sin,0.0,4465,-0.3088124692440033
validation,season_cos,0.0,4465,-0.1488903909921646
validation,latitude,0.0,4465,27.53849983215332
validation,longitude,0.0,4465,-82.22724914550781
calibration,log_cells,0.0,3816,0.0
calibration,temperature,0.30241090146750527,2662,27.100000381469727
calibration,salinity,0.3042452830188679,2655,30.940000534057617
calibration,wind_speed,1.0,0,
calibration,gap_days,0.0,3816,6.0
calibration,season_sin,0.0,3816,0.02795029804110527
calibration,season_cos,0.0,3816,-0.1488903909921646
calibration,latitude,0.0,3816,27.47096061706543
calibration,longitude,0.0,3816,-82.22724914550781
test,log_cells,0.0,7010,0.0
test,temperature,0.29572039942938655,4937,25.700000762939453
test,salinity,0.27660485021398007,5071,32.310001373291016
test,wind_speed,1.0,0,
test,gap_days,0.0,7010,6.0
test,season_sin,0.0,7010,0.32105764746665955
test,season_cos,0.0,7010,-0.2995947599411011
test,latitude,0.0,7010,27.59910011291504
test,longitude,0.0,7010,-82.3748779296875
spatial_test,log_cells,0.0,1468,0.0
spatial_test,temperature,0.26634877384196187,1077,25.0
spatial_test,salinity,0.2786103542234333,1059,34.5
spatial_test,wind_speed,1.0,0,
spatial_test,gap_days,0.0,1468,4.0
spatial_test,season_sin,0.0,1468,0.3634816110134125
spatial_test,season_cos,0.0,1468,-0.13398942351341248
spatial_test,latitude,0.0,1468,27.33267593383789
spatial_test,longitude,0.0,1468,-82.57864379882812
