model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
Seasonal,17,test,2020,366,43,0.11748633879781421,0.11491787169835636,0.14477500059693263,0.22953300715151337,0.23741810065519475,0.0,0.0
Seasonal,17,test,2021,1294,124,0.09582689335394126,0.09387536911954053,0.0956865167024283,0.09516285820074766,0.4769954507857733,0.13709677419354838,0.13076923076923078
Seasonal,17,test,2022,63,6,0.09523809523809523,0.2857142857142857,0.09428431966063588,0.09004651538700209,0.7894736842105263,0.0,0.0
Seasonal,17,test,2023,70,10,0.14285714285714285,0.26555555555555554,0.14628041397500643,0.15678174244842813,0.655,0.0,0.0
Seasonal,17,test,2024,1679,39,0.023228111971411555,0.07118056919247584,0.027300529350114768,0.03877564909536242,0.8040103189493434,0.358974358974359,0.08333333333333333
Seasonal,17,test,2025,1882,29,0.015409139213602551,0.05822666483073964,0.015613192874549514,0.0137361315037339,0.8430597167687068,0.13793103448275862,0.021164021164021163
Seasonal,17,test,2026,1656,1,0.0006038647342995169,0.004830917874396135,0.0006174093970698423,0.0015730608415718294,0.93202416918429,1.0,0.006024096385542169
Seasonal,17,spatial_test,2020,85,0,0.0,,0.03187013454059719,0.13163271087103734,,,0.0
Seasonal,17,spatial_test,2021,288,16,0.05555555555555555,0.04581610967247297,0.05598972261733384,0.055808908653488615,0.2614889705882353,0.0625,0.034482758620689655
Seasonal,17,spatial_test,2022,26,2,0.07692307692307693,0.625,0.05922413462179456,0.06182538684414364,0.8958333333333333,0.5,0.3333333333333333
Seasonal,17,spatial_test,2023,35,4,0.11428571428571428,0.36363636363636365,0.11509851657948127,0.11557542973689566,0.7741935483870968,0.0,0.0
Seasonal,17,spatial_test,2024,394,15,0.03807106598984772,0.1900635930047695,0.0350989298261318,0.02754976108547049,0.8649076517150396,0.6,0.225
Seasonal,17,spatial_test,2025,378,7,0.018518518518518517,0.0595400839761742,0.021174408496266513,0.02829587321591362,0.800346553715826,0.0,0.0
Seasonal,17,spatial_test,2026,262,0,0.0,,2.8586373821907992e-05,0.0020665942550618407,,,0.0
Persistence,17,test,2020,366,43,0.11748633879781421,0.5180475446730535,0.06307828323683387,0.050283895091976394,0.7814097487220103,0.5813953488372093,0.6756756756756757
Persistence,17,test,2021,1294,124,0.09582689335394126,0.30569108955507335,0.07277779263296424,0.051762027171423,0.7338916459884202,0.5161290322580645,0.49230769230769234
Persistence,17,test,2022,63,6,0.09523809523809523,0.3476190476190476,0.06597784692145497,0.04162053429610157,0.7324561403508772,0.5,0.42857142857142855
Persistence,17,test,2023,70,10,0.14285714285714285,0.3214285714285714,0.10937880843449804,0.08452146930600828,0.7083333333333334,0.4,0.5714285714285714
