model,seed,threshold,operator,calibration_alert_fraction,selected_on
Logistic,17,0.022754491814955827,>,0.09984276729559749,calibration
RandomForest,17,0.034910873580327385,>,0.09984276729559749,calibration
HistGradientBoosting,17,0.03258811393120133,>,0.09984276729559749,calibration
EcoTemporalNet,17,0.0160575092623216,>,0.09984276729559749,calibration
EcoFusion,17,0.021306491224563472,>,0.09984276729559749,calibration
Logistic,42,0.022754491814955827,>,0.09984276729559749,calibration
RandomForest,42,0.035217818216921166,>,0.09984276729559749,calibration
HistGradientBoosting,42,0.03258811393120133,>,0.09984276729559749,calibration
EcoTemporalNet,42,0.017113973492898952,>,0.09984276729559749,calibration
EcoFusion,42,0.02195135770075032,>,0.09984276729559749,calibration
Logistic,73,0.022754491814955827,>,0.09984276729559749,calibration
RandomForest,73,0.03533302120524866,>,0.09984276729559749,calibration
HistGradientBoosting,73,0.03258811393120133,>,0.09984276729559749,calibration
EcoTemporalNet,73,0.02393300554657815,>,0.09984276729559749,calibration
EcoFusion,73,0.0253485545921609,>,0.09984276729559749,calibration
