model,seed,split,threshold,n,alerts,TP,FP,FN,TN,precision,recall,false_positive_rate,alert_fraction
Logistic,17,spatial_test,0.022754491814955827,1468,205,39,166,5,1258,0.1902439024390244,0.8863636363636364,0.11657303370786516,0.1396457765667575
Logistic,17,test,0.022754491814955827,7010,1074,219,855,33,5903,0.20391061452513967,0.8690476190476191,0.1265167209233501,0.15320970042796006
RandomForest,17,spatial_test,0.034910873580327385,1468,543,38,505,6,919,0.06998158379373849,0.8636363636363636,0.35463483146067415,0.3698910081743869
RandomForest,17,test,0.034910873580327385,7010,1024,209,815,43,5943,0.2041015625,0.8293650793650794,0.12059781000295945,0.14607703281027104
HistGradientBoosting,17,spatial_test,0.03258811393120133,1468,195,36,159,8,1265,0.18461538461538463,0.8181818181818182,0.11165730337078651,0.13283378746594005
HistGradientBoosting,17,test,0.03258811393120133,7010,1007,210,797,42,5961,0.20854021847070506,0.8333333333333334,0.11793430008878367,0.14365192582025677
EcoTemporalNet,17,spatial_test,0.0160575092623216,1468,205,40,165,4,1259,0.1951219512195122,0.9090909090909091,0.11587078651685394,0.1396457765667575
EcoTemporalNet,17,test,0.0160575092623216,7010,1150,221,929,31,5829,0.19217391304347825,0.876984126984127,0.1374667061260728,0.16405135520684735
EcoFusion,17,spatial_test,0.021306491224563472,1468,204,37,167,7,1257,0.18137254901960784,0.8409090909090909,0.1172752808988764,0.13896457765667575
EcoFusion,17,test,0.021306491224563472,7010,1080,220,860,32,5898,0.2037037037037037,0.873015873015873,0.12725658478839894,0.15406562054208273
Logistic,42,spatial_test,0.022754491814955827,1468,205,39,166,5,1258,0.1902439024390244,0.8863636363636364,0.11657303370786516,0.1396457765667575
Logistic,42,test,0.022754491814955827,7010,1074,219,855,33,5903,0.20391061452513967,0.8690476190476191,0.1265167209233501,0.15320970042796006
RandomForest,42,spatial_test,0.035217818216921166,1468,374,38,336,6,1088,0.10160427807486631,0.8636363636363636,0.23595505617977527,0.2547683923705722
RandomForest,42,test,0.035217818216921166,7010,1031,214,817,38,5941,0.2075654704170708,0.8492063492063492,0.12089375554897899,0.1470756062767475
HistGradientBoosting,42,spatial_test,0.03258811393120133,1468,195,36,159,8,1265,0.18461538461538463,0.8181818181818182,0.11165730337078651,0.13283378746594005
HistGradientBoosting,42,test,0.03258811393120133,7010,1007,210,797,42,5961,0.20854021847070506,0.8333333333333334,0.11793430008878367,0.14365192582025677
EcoTemporalNet,42,spatial_test,0.017113973492898952,1468,201,38,163,6,1261,0.1890547263681592,0.8636363636363636,0.11446629213483146,0.1369209809264305
EcoTemporalNet,42,test,0.017113973492898952,7010,1103,215,888,37,5870,0.19492293744333636,0.8531746031746031,0.1313998224326724,0.1573466476462197
EcoFusion,42,spatial_test,0.02195135770075032,1468,199,37,162,7,1262,0.18592964824120603,0.8409090909090909,0.11376404494382023,0.13555858310626703
EcoFusion,42,test,0.02195135770075032,7010,1062,216,846,36,5912,0.2033898305084746,0.8571428571428571,0.12518496596626222,0.1514978601997147
Logistic,73,spatial_test,0.022754491814955827,1468,205,39,166,5,1258,0.1902439024390244,0.8863636363636364,0.11657303370786516,0.1396457765667575
Logistic,73,test,0.022754491814955827,7010,1074,219,855,33,5903,0.20391061452513967,0.8690476190476191,0.1265167209233501,0.15320970042796006
RandomForest,73,spatial_test,0.03533302120524866,1468,567,38,529,6,895,0.06701940035273368,0.8636363636363636,0.3714887640449438,0.3862397820163488
RandomForest,73,test,0.03533302120524866,7010,1045,211,834,41,5924,0.20191387559808613,0.8373015873015873,0.12340929269014501,0.14907275320970043
HistGradientBoosting,73,spatial_test,0.03258811393120133,1468,195,36,159,8,1265,0.18461538461538463,0.8181818181818182,0.11165730337078651,0.13283378746594005
HistGradientBoosting,73,test,0.03258811393120133,7010,1007,210,797,42,5961,0.20854021847070506,0.8333333333333334,0.11793430008878367,0.14365192582025677
EcoTemporalNet,73,spatial_test,0.02393300554657815,1468,203,38,165,6,1259,0.18719211822660098,0.8636363636363636,0.11587078651685394,0.138283378746594
EcoTemporalNet,73,test,0.02393300554657815,7010,1083,219,864,33,5894,0.20221606648199447,0.8690476190476191,0.127848475880438,0.1544935805991441
EcoFusion,73,spatial_test,0.0253485545921609,1468,201,38,163,6,1261,0.1890547263681592,0.8636363636363636,0.11446629213483146,0.1369209809264305
EcoFusion,73,test,0.0253485545921609,7010,1046,217,829,35,5929,0.2074569789674952,0.8611111111111112,0.12266942882509618,0.1492154065620542
