sample_date,samples,locations,k_cristata_peak_cells_l,k_cristata_median_cells_l,karenia_peak_cells_l,k_cristata_detection_share
2025-03-18,4,4,1330214.0,364164.0,1400000.0,1.0
2025-05-07,2,2,78.08035649,39.040178245,78.08035649,0.5
2025-05-12,1,1,8906825.203,8906825.203,9180743.978186,1.0
2025-05-13,1,1,173.8564012,173.8564012,213.7590882,1.0
2025-05-22,4,1,2802.593286,34.80969178,2962.989090092,0.5
2025-05-23,2,1,10548203.04,5435234.8911999995,10593965.33547281,1.0
2025-06-06,1,1,77743.21614,77743.21614,12693711.827806702,1.0
2025-06-13,2,1,235.0309361,117.51546805,201194.3358061,0.5
2025-06-27,1,1,526363.157,526363.157,609258.910719,1.0
2025-07-07,1,1,15015439.54,15015439.54,15083284.29561,1.0
2025-07-09,1,1,1571128.876,1571128.876,1634736.289519,1.0
2025-07-14,2,2,0.0,0.0,0.0,0.0
2025-07-16,15,1,36281.80691,0.0,36287.021703077,0.4
2025-07-27,9,3,290685.1941,95906.70943,296524.8872018,1.0
2025-07-28,3,2,3013.278137,2230.453736,86626.549802,1.0
2025-08-03,15,5,1151367.079,332007.9809,1178942.54185282,1.0
2025-08-10,9,3,738754.9002,213851.5353,750018.993769,1.0
2025-08-17,9,3,929045.637,171814.1357,939964.381949,1.0
2025-08-24,9,3,1438013.277,455275.7846,1444851.114389116,1.0
2025-08-31,9,3,3949426.892,1144800.375,3988278.921365,1.0
2025-09-06,9,3,3951898.142,429924.9104,3958666.558081,1.0
2025-09-13,6,2,8643793.473,3827728.4825,8656765.090003999,1.0
