location,latitude,longitude,samples,sampling_dates,first_sample,last_sample,k_cristata_peak_cells_l,karenia_peak_cells_l,k_cristata_detection_share,k_cristata_max_share,observed_abundance_band,marker_size,observed_hazard_index,farm_exposure_scenario,vulnerability_coefficient,verification_priority_index,evidence_grade,recommended_action,priority_level,hazard_evidence_source,exposure_evidence_source,decision_boundary
Stansbury (slick on water),-34.889408333333336,137.84047222222222,1,1,2025-07-07,2025-07-07,15015439.54,15083284.29561,1.0,0.9955019905293606,≥10⁶ cells L⁻¹,58.23576654981697,100.0,0.8,1.0,80.0,B：现场qPCR藻量；毒素机制为事件级外部证据,立即组织现场复核；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,一级：立即现场复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-34.786,137.98,1,1,2025-05-23,2025-05-23,10548203.04,10593965.33547281,1.0,0.995680343098766,≥10⁶ cells L⁻¹,57.16224965408065,97.8630426696649,0.8,1.0,78.29043413573193,B：现场qPCR藻量；毒素机制为事件级外部证据,立即组织现场复核；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,一级：立即现场复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Stansbury,-34.898,137.826,2,2,2025-05-12,2025-07-28,8906825.203,9180743.978186,1.0,0.970163771494244,≥10⁶ cells L⁻¹,56.64806084671952,96.83949143779265,0.8,1.0,77.47159315023413,B：现场qPCR藻量；毒素机制为事件级外部证据,立即组织现场复核；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,一级：立即现场复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
O'Sullivan Beach Boat Ramp*,-35.12,138.467,24,8,2025-07-27,2025-09-13,8643793.473,8656765.090003999,1.0,0.9990467983712018,≥10⁶ cells L⁻¹,56.55693102356796,96.65808717264386,0.8,1.0,77.3264697381151,B：现场qPCR藻量；毒素机制为事件级外部证据,立即组织现场复核；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,一级：立即现场复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Port Noarlunga Jetty*,-35.149,138.468,24,8,2025-07-27,2025-09-13,3205923.87,3213665.316551,1.0,1.0,≥10⁶ cells L⁻¹,53.54167338392875,90.65587431370582,0.8,1.0,72.52469945096466,B：现场qPCR藻量；毒素机制为事件级外部证据,立即组织现场复核；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,一级：立即现场复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Ardrossan Jetty,-34.4249163760898,137.925404012443,1,1,2025-07-09,2025-07-09,1571128.876,1634736.289519,1.0,0.9610901073605485,≥10⁶ cells L⁻¹,51.37348460953271,86.33984825636294,0.8,1.0,69.07187860509036,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Seaford Beach*,-35.181,138.468,21,7,2025-07-27,2025-09-06,1438013.277,1444851.114389116,1.0,0.9986240362207076,≥10⁶ cells L⁻¹,51.10434238504068,85.80409008449323,0.8,1.0,68.64327206759458,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Waitpinga Beach,-35.635,138.499,1,1,2025-03-18,2025-03-18,1330214.0,1400000.0,1.0,0.9501528571428572,≥10⁶ cells L⁻¹,50.86745288554503,85.33253462557386,0.8,1.0,68.26602770045909,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
West Lakes*,-34.875,138.485,3,1,2025-08-03,2025-08-03,1151367.079,1178942.54185282,1.0,0.9817199009680724,≥10⁶ cells L⁻¹,50.42849929309601,84.45874763555406,0.8,1.0,67.56699810844326,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Port River*,-34.77,138.514,3,1,2025-08-03,2025-08-03,869069.8815,891781.3048055,1.0,0.9745325191466608,10⁵–10⁶ cells L⁻¹,49.573386392934154,82.75654826866699,0.8,1.0,66.20523861493359,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Petrel Cove Beach,-35.593,138.6,1,1,2025-03-18,2025-03-18,600239.0,710000.0,1.0,0.8454070422535211,10⁵–10⁶ cells L⁻¹,48.448274534094764,80.51688530319066,0.8,1.0,64.41350824255254,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
SARDI S/W Intakes,-34.95765,138.4894,1,1,2025-06-27,2025-06-27,526363.157,609258.910719,1.0,0.86394002244272,10⁵–10⁶ cells L⁻¹,48.04900415696598,79.72209226119968,0.8,1.0,63.77767380895975,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-34.786,138.15,1,1,2025-05-23,2025-05-23,322266.7424,323824.0278358,1.0,0.9951909515603036,10⁵–10⁶ cells L⁻¹,46.5575178568875,76.75311935103332,0.8,1.0,61.40249548082666,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Parsons Headland,-35.634,138.475,1,1,2025-03-18,2025-03-18,128089.0,210000.0,1.0,0.6099476190476191,10⁵–10⁶ cells L⁻¹,43.75260657956025,71.16962482120323,0.8,1.0,56.935699856962586,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Encounter Bay Boat Ramp,-35.585,138.598,1,1,2025-03-18,2025-03-18,122600.0,320000.0,1.0,0.383125,10⁵–10⁶ cells L⁻¹,43.619458087761075,70.90457762287464,0.8,1.0,56.72366209829971,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Point Boston,-34.649094277744,135.934775539438,1,1,2025-06-06,2025-06-06,77743.21614,12693711.827806702,1.0,0.0061245455383425,10⁴–10⁵ cells L⁻¹,42.23467662384812,68.14801281055169,0.8,1.0,54.518410248441356,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-34.531,138.049,2,1,2025-07-16,2025-07-16,36281.80691,36287.021703077,0.5,0.9998562904081886,10⁴–10⁵ cells L⁻¹,39.91790614299945,63.53621798793022,0.8,1.0,50.82897439034418,B：现场qPCR藻量；毒素机制为事件级外部证据,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,二级：加密采样复核,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-34.749,138.361,2,1,2025-07-16,2025-07-16,18116.8702,18121.792168182,0.5,0.999728395065106,10⁴–10⁵ cells L⁻¹,37.80675000773116,59.33372187756485,0.8,1.0,47.46697750205188,B：现场qPCR藻量；毒素机制为事件级外部证据,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,三级：持续趋势核查,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Franklin Harbour,-33.752,136.905,2,1,2025-07-28,2025-07-28,3013.278137,86626.549802,1.0,1.0,<10⁴ cells L⁻¹,32.3542832648941,48.479967436632705,0.8,1.0,38.783973949306166,B：现场qPCR藻量；毒素机制为事件级外部证据,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,三级：持续趋势核查,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-35.184,137.614,1,1,2025-05-22,2025-05-22,2802.593286,2962.989090092,1.0,0.9458668934595976,<10⁴ cells L⁻¹,32.13400507889931,48.04147868424878,0.8,1.0,38.433182947399025,B：现场qPCR藻量；毒素机制为事件级外部证据,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,三级：持续趋势核查,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-35.249,138.441,2,1,2025-07-16,2025-07-16,1471.367569,1599.09775,0.5,0.9201235940704688,<10⁴ cells L⁻¹,30.176113700463283,44.14407348292783,0.8,1.0,35.31525878634226,B：现场qPCR藻量；毒素机制为事件级外部证据,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,三级：持续趋势核查,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-34.88,138.122,2,1,2025-07-16,2025-07-16,368.0273044,368.0273044,0.5,1.0,<10⁴ cells L⁻¹,25.969409506150907,35.77015091096759,0.8,1.0,28.61612072877407,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
"Emu Bay, Kangaroo Island",-35.5903931121973,137.506357977241,2,1,2025-06-13,2025-06-13,235.0309361,201194.3358061,0.5,0.0011681786922993,<10⁴ cells L⁻¹,24.61078250163424,33.06564952116722,0.8,1.0,26.452519616933774,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
