location,latitude,longitude,samples,sampling_dates,first_sample,last_sample,k_cristata_peak_cells_l,karenia_peak_cells_l,k_cristata_detection_share,k_cristata_max_share,observed_abundance_band,marker_size
Stansbury (slick on water),-34.889408333333336,137.84047222222222,1,1,2025-07-07,2025-07-07,15015439.54,15083284.29561,1.0,0.9955019905293606,≥10⁶ cells L⁻¹,58.23576654981697
Gulf St Vincent,-34.786,137.98,1,1,2025-05-23,2025-05-23,10548203.04,10593965.33547281,1.0,0.995680343098766,≥10⁶ cells L⁻¹,57.16224965408065
Stansbury,-34.898,137.826,2,2,2025-05-12,2025-07-28,8906825.203,9180743.978186,1.0,0.970163771494244,≥10⁶ cells L⁻¹,56.64806084671952
O'Sullivan Beach Boat Ramp*,-35.12,138.467,24,8,2025-07-27,2025-09-13,8643793.473,8656765.090003999,1.0,0.9990467983712018,≥10⁶ cells L⁻¹,56.55693102356796
Port Noarlunga Jetty*,-35.149,138.468,24,8,2025-07-27,2025-09-13,3205923.87,3213665.316551,1.0,1.0,≥10⁶ cells L⁻¹,53.54167338392875
Ardrossan Jetty,-34.4249163760898,137.925404012443,1,1,2025-07-09,2025-07-09,1571128.876,1634736.289519,1.0,0.9610901073605485,≥10⁶ cells L⁻¹,51.37348460953271
Seaford Beach*,-35.181,138.468,21,7,2025-07-27,2025-09-06,1438013.277,1444851.114389116,1.0,0.9986240362207076,≥10⁶ cells L⁻¹,51.10434238504068
Waitpinga Beach,-35.635,138.499,1,1,2025-03-18,2025-03-18,1330214.0,1400000.0,1.0,0.9501528571428572,≥10⁶ cells L⁻¹,50.86745288554503
West Lakes*,-34.875,138.485,3,1,2025-08-03,2025-08-03,1151367.079,1178942.54185282,1.0,0.9817199009680724,≥10⁶ cells L⁻¹,50.42849929309601
Port River*,-34.77,138.514,3,1,2025-08-03,2025-08-03,869069.8815,891781.3048055,1.0,0.9745325191466608,10⁵–10⁶ cells L⁻¹,49.573386392934154
Petrel Cove Beach,-35.593,138.6,1,1,2025-03-18,2025-03-18,600239.0,710000.0,1.0,0.8454070422535211,10⁵–10⁶ cells L⁻¹,48.448274534094764
SARDI S/W Intakes,-34.95765,138.4894,1,1,2025-06-27,2025-06-27,526363.157,609258.910719,1.0,0.86394002244272,10⁵–10⁶ cells L⁻¹,48.04900415696598
Gulf St Vincent,-34.786,138.15,1,1,2025-05-23,2025-05-23,322266.7424,323824.0278358,1.0,0.9951909515603036,10⁵–10⁶ cells L⁻¹,46.5575178568875
Parsons Headland,-35.634,138.475,1,1,2025-03-18,2025-03-18,128089.0,210000.0,1.0,0.6099476190476191,10⁵–10⁶ cells L⁻¹,43.75260657956025
Encounter Bay Boat Ramp,-35.585,138.598,1,1,2025-03-18,2025-03-18,122600.0,320000.0,1.0,0.383125,10⁵–10⁶ cells L⁻¹,43.619458087761075
Point Boston,-34.649094277744,135.934775539438,1,1,2025-06-06,2025-06-06,77743.21614,12693711.827806702,1.0,0.0061245455383425,10⁴–10⁵ cells L⁻¹,42.23467662384812
Gulf St Vincent,-34.531,138.049,2,1,2025-07-16,2025-07-16,36281.80691,36287.021703077,0.5,0.9998562904081886,10⁴–10⁵ cells L⁻¹,39.91790614299945
Gulf St Vincent,-34.749,138.361,2,1,2025-07-16,2025-07-16,18116.8702,18121.792168182,0.5,0.999728395065106,10⁴–10⁵ cells L⁻¹,37.80675000773116
Franklin Harbour,-33.752,136.905,2,1,2025-07-28,2025-07-28,3013.278137,86626.549802,1.0,1.0,<10⁴ cells L⁻¹,32.3542832648941
Gulf St Vincent,-35.184,137.614,1,1,2025-05-22,2025-05-22,2802.593286,2962.989090092,1.0,0.9458668934595976,<10⁴ cells L⁻¹,32.13400507889931
Gulf St Vincent,-35.249,138.441,2,1,2025-07-16,2025-07-16,1471.367569,1599.09775,0.5,0.9201235940704688,<10⁴ cells L⁻¹,30.176113700463283
Gulf St Vincent,-34.88,138.122,2,1,2025-07-16,2025-07-16,368.0273044,368.0273044,0.5,1.0,<10⁴ cells L⁻¹,25.969409506150907
"Emu Bay, Kangaroo Island",-35.5903931121973,137.506357977241,2,1,2025-06-13,2025-06-13,235.0309361,201194.3358061,0.5,0.0011681786922993,<10⁴ cells L⁻¹,24.61078250163424
Gulf St Vincent,-35.457,138.142,2,1,2025-07-16,2025-07-16,226.1802399,226.1802399,0.5,1.0,<10⁴ cells L⁻¹,24.49459387673242
"Stokes Bay, Kangaroo Island",-35.625,137.159,1,1,2025-05-13,2025-05-13,173.8564012,213.7590882,1.0,0.8133286994438068,<10⁴ cells L⁻¹,23.698770750109404
Gulf St Vincent,-35.351,138.353,2,1,2025-07-16,2025-07-16,137.5768402,137.5768402,0.5,1.0,<10⁴ cells L⁻¹,22.991834580931194
Goolwa Beach Site 4,-35.55078611111111,138.85085833333332,1,1,2025-05-07,2025-05-07,78.08035649,78.08035649,1.0,1.0,<10⁴ cells L⁻¹,21.286480328955736
Gulf St Vincent,-34.94,137.88,1,1,2025-05-22,2025-05-22,69.61938356,69.61938356,1.0,1.0,<10⁴ cells L⁻¹,20.942467455863238
Gulf St Vincent,-34.63,138.113,1,1,2025-07-16,2025-07-16,0.0,0.003258304,0.0,0.0,未检出/报告为0,8.0
Gulf St Vincent,-34.786,138.3,1,1,2025-05-22,2025-05-22,0.0,0.0,0.0,0.0,未检出/报告为0,8.0
Gulf St Vincent,-35.137,137.878,1,1,2025-05-22,2025-05-22,0.0,0.0,0.0,0.0,未检出/报告为0,8.0
Goolwa Beach Site 3,-35.53906388888889,138.8189888888889,1,1,2025-05-07,2025-05-07,0.0,0.0,0.0,0.0,未检出/报告为0,8.0
Gulf St Vincent,-34.674,138.358,2,1,2025-07-16,2025-07-16,0.0,0.0,0.0,0.0,未检出/报告为0,8.0
Port River Dock,-34.761,138.51,1,1,2025-07-14,2025-07-14,0.0,0.0,0.0,0.0,未检出/报告为0,8.0
West Lakes Inlet,-34.878,138.486,1,1,2025-07-14,2025-07-14,0.0,0.0,0.0,0.0,未检出/报告为0,8.0
